pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0411,11.0439,11.0425,926,EUR/SEK Spot,11.0425,11.0411,11.0439
USD/SEK,USD,SEK,1,9.6579,9.6597,9.6588,150,USD/SEK Spot,9.6588,9.6579,9.6597
GBP/SEK,GBP,SEK,1,13.0013,13.0113,13.0063,72825,GBP/SEK Spot,13.0063,13.0013,13.0113
JPY/SEK,JPY,SEK,1,5.943,5.953,5.948,117083,JPY/SEK Spot,5.948,5.943,5.953
CHF/SEK,CHF,SEK,1,11.9528,11.9628,11.9578,72829,CHF/SEK Spot,11.9578,11.9528,11.9628
NOK/SEK,NOK,SEK,1,1.0003,1.0013,1.0008,72828,NOK/SEK Spot,1.0008,1.0003,1.0013
DKK/SEK,DKK,SEK,1,1.4768,1.4778,1.4773,72826,DKK/SEK Spot,1.4773,1.4768,1.4778
CAD/SEK,CAD,SEK,1,6.881,6.891,6.886,51623,CAD/SEK Spot,6.886,6.881,6.891
AUD/SEK,AUD,SEK,1,6.7621,6.7631,6.7626,117438,AUD/SEK Spot,6.7626,6.7621,6.7631
NZD/SEK,NZD,SEK,1,5.6496,5.6506,5.6501,117521,NZD/SEK Spot,5.6501,5.6496,5.6506
