country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6935,6.7735,6.6935,6.7735,29/7
Danmark,DKK/SEK,DKK,SEK,1,1.47028,1.48628,1.47028,1.48628,29/7
Euro,EUR/SEK,EUR,SEK,1,10.9795,11.1195,10.9795,11.1195,29/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2232,1.2494,1.2232,1.2494,29/7
Indien,INR/SEK,INR,SEK,1,0.098342,0.104543,0.098342,0.104543,29/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000523,0.000556,0.000523,0.000556,29/7
Island,ISK/SEK,ISK,SEK,1,0.077532,0.077872,0.077532,0.077872,29/7
Japan,JPY/SEK,JPY,SEK,1,0.058783,0.059723,0.058783,0.059723,29/7
Kanada,CAD/SEK,CAD,SEK,1,6.8363,6.9224,6.8363,6.9224,29/7
Kina,CNY/SEK,CNY,SEK,1,1.423,1.443,1.423,1.443,29/7
Malaysia,MYR/SEK,MYR,SEK,1,2.356049,2.386049,2.356049,2.386049,29/7
Marocko,MAD/SEK,MAD,SEK,1,1.0162,1.0508,1.0162,1.0508,29/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5489,0.563,0.5489,0.563,29/7
Norge,NOK/SEK,NOK,SEK,1,0.994855,1.007855,0.994855,1.007855,29/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5668,5.6488,5.5668,5.6488,29/7
Polen,PLN/SEK,PLN,SEK,1,2.5335,2.5736,2.5335,2.5736,29/7
Ryssland,RUB/SEK,RUB,SEK,1,0.119225,0.123605,0.119225,0.123605,29/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5503,2.6145,2.5503,2.6145,29/7
Schweiz,CHF/SEK,CHF,SEK,1,11.78165,11.89365,11.78165,11.89365,29/7
Singapore,SGD/SEK,SGD,SEK,1,7.4698,7.5413,7.4698,7.5413,29/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.8256,12.9656,12.8256,12.9656,29/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5709,0.589,0.5709,0.589,29/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006584,0.006756,0.006584,0.006756,29/7
Thailand,THB/SEK,THB,SEK,1,0.2863,0.2922,0.2863,0.2922,29/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.45338,0.45998,0.45338,0.45998,29/7
Turkiet,TRY/SEK,TRY,SEK,1,0.17,0.2389,0.17,0.2389,29/7
Ungern,HUF/SEK,HUF,SEK,1,0.030204,0.030966,0.030204,0.030966,29/7
USA,USD/SEK,USD,SEK,1,9.6289,9.7639,9.6289,9.7639,29/7
