pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9635,10.966,10.9648,926,EUR/SEK Spot,10.9648,10.9635,10.966
USD/SEK,USD,SEK,1,9.4902,9.4925,9.4914,150,USD/SEK Spot,9.4914,9.4902,9.4925
GBP/SEK,GBP,SEK,1,12.7067,12.7167,12.7117,72825,GBP/SEK Spot,12.7117,12.7067,12.7167
JPY/SEK,JPY,SEK,1,5.91,5.92,5.915,117083,JPY/SEK Spot,5.915,5.91,5.92
CHF/SEK,CHF,SEK,1,11.88,11.89,11.885,72829,CHF/SEK Spot,11.885,11.88,11.89
NOK/SEK,NOK,SEK,1,0.9991,1.0001,0.9996,72828,NOK/SEK Spot,0.9996,0.9991,1.0001
DKK/SEK,DKK,SEK,1,1.4665,1.4675,1.467,72826,DKK/SEK Spot,1.467,1.4665,1.4675
CAD/SEK,CAD,SEK,1,6.8089,6.8189,6.8139,51623,CAD/SEK Spot,6.8139,6.8089,6.8189
AUD/SEK,AUD,SEK,1,6.6531,6.6541,6.6536,117438,AUD/SEK Spot,6.6536,6.6531,6.6541
NZD/SEK,NZD,SEK,1,5.5169,5.5179,5.5174,117521,NZD/SEK Spot,5.5174,5.5169,5.5179
