pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0338,11.0359,11.0349,926,EUR/SEK Spot,11.0349,11.0338,11.0359
USD/SEK,USD,SEK,1,9.6769,9.6786,9.6777,150,USD/SEK Spot,9.6777,9.6769,9.6786
GBP/SEK,GBP,SEK,1,12.9448,12.9548,12.9498,72825,GBP/SEK Spot,12.9498,12.9448,12.9548
JPY/SEK,JPY,SEK,1,5.962,5.972,5.967,117083,JPY/SEK Spot,5.967,5.962,5.972
CHF/SEK,CHF,SEK,1,11.9129,11.9229,11.9179,72829,CHF/SEK Spot,11.9179,11.9129,11.9229
NOK/SEK,NOK,SEK,1,0.9945,0.9955,0.995,72828,NOK/SEK Spot,0.995,0.9945,0.9955
DKK/SEK,DKK,SEK,1,1.476,1.477,1.4765,72826,DKK/SEK Spot,1.4765,1.476,1.477
CAD/SEK,CAD,SEK,1,6.8678,6.8778,6.8728,51623,CAD/SEK Spot,6.8728,6.8678,6.8778
AUD/SEK,AUD,SEK,1,6.7262,6.7272,6.7267,117438,AUD/SEK Spot,6.7267,6.7262,6.7272
NZD/SEK,NZD,SEK,1,5.6152,5.6162,5.6157,117521,NZD/SEK Spot,5.6157,5.6152,5.6162
