country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.665,6.7641,2026-07-08
Danmark,Dansk krona,DKK,1.4682,1.4899,2026-07-08
Euro,Euro,EUR,10.975,11.1371,2026-07-08
Hong Kong,Hongkong dollar,HKD,1.2187,1.2498,2026-07-08
Indien,Indisk rupie,INR,0.099,0.1043,2026-07-08
Japan,Japanskt yen,JPY,0.0592,0.0601,2026-07-08
Kanada,Kanadensisk dollar,CAD,6.7816,6.8822,2026-07-08
Kina,Kinesisk yuan,CNY,1.4045,1.4429,2026-07-08
Mexiko,Mexikansk peso,MXN,0.5458,0.5599,2026-07-08
Norge,Norsk krona,NOK,0.9825,0.9973,2026-07-08
Nya Zeeland,Nyzeeländsk dollar,NZD,5.49,5.5721,2026-07-08
Polen,Polsk zloty,PLN,2.5515,2.5899,2026-07-08
Schweiz,Schweizisk franc,CHF,11.906,12.0825,2026-07-08
Singapore,Singaporiansk dollar,SGD,7.4354,7.546,2026-07-08
Storbritannien,Brittiskt pund,GBP,12.8355,13.0262,2026-07-08
Sydafrika,Sydafrikansk rand,ZAR,0.5859,0.601,2026-07-08
Thailand,Thailänsk bath,THB,0.2862,0.2939,2026-07-08
Tjeckien,Tjeckisk krona,CZK,0.4526,0.4594,2026-07-08
Turkiet,Turkisk lira,TRY,0.2036,0.2091,2026-07-08
Ungern,Ungersk forint,HUF,0.0307,0.0315,2026-07-08
USA,Amerikansk dollar,USD,9.6042,9.7464,2026-07-08
