pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9924,10.9974,10.9948,926,EUR/SEK Spot,10.9948,10.9924,10.9974
USD/SEK,USD,SEK,1,9.5741,9.5991,9.5866,150,USD/SEK Spot,9.5866,9.5741,9.5991
GBP/SEK,GBP,SEK,1,12.6779,12.6879,12.6829,72825,GBP/SEK Spot,12.6829,12.6779,12.6879
JPY/SEK,JPY,SEK,1,5.936,5.946,5.941,117083,JPY/SEK Spot,5.941,5.936,5.946
CHF/SEK,CHF,SEK,1,11.8683,11.8783,11.8733,72829,CHF/SEK Spot,11.8733,11.8683,11.8783
NOK/SEK,NOK,SEK,1,0.9888,0.9898,0.9893,72828,NOK/SEK Spot,0.9893,0.9888,0.9898
DKK/SEK,DKK,SEK,1,1.4703,1.4713,1.4708,72826,DKK/SEK Spot,1.4708,1.4703,1.4713
CAD/SEK,CAD,SEK,1,6.7659,6.7759,6.7709,51623,CAD/SEK Spot,6.7709,6.7659,6.7759
AUD/SEK,AUD,SEK,1,6.719,6.72,6.7195,117438,AUD/SEK Spot,6.7195,6.719,6.72
NZD/SEK,NZD,SEK,1,5.5002,5.5012,5.5007,117521,NZD/SEK Spot,5.5007,5.5002,5.5012
