country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6619,6.7419,6.6619,6.7419,29/6
Danmark,DKK/SEK,DKK,SEK,1,1.4749,1.4909,1.4749,1.4909,29/6
Euro,EUR/SEK,EUR,SEK,1,11.0145,11.1545,11.0145,11.1545,29/6
Hongkong,HKD/SEK,HKD,SEK,1,1.2264,1.2526,1.2264,1.2526,29/6
Indien,INR/SEK,INR,SEK,1,0.09987,0.106071,0.09987,0.106071,29/6
Indonesien,IDR/SEK,IDR,SEK,1,0.000531,0.000565,0.000531,0.000565,29/6
Island,ISK/SEK,ISK,SEK,1,0.076804,0.077144,0.076804,0.077144,29/6
Japan,JPY/SEK,JPY,SEK,1,0.059605,0.060546,0.059605,0.060546,29/6
Kanada,CAD/SEK,CAD,SEK,1,6.8077,6.8938,6.8077,6.8938,29/6
Kina,CNY/SEK,CNY,SEK,1,1.4212,1.4413,1.4212,1.4413,29/6
Malaysia,MYR/SEK,MYR,SEK,1,2.375999,2.405999,2.375999,2.405999,29/6
Marocko,MAD/SEK,MAD,SEK,1,1.0199,1.0546,1.0199,1.0546,29/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5491,0.5632,0.5491,0.5632,29/6
Norge,NOK/SEK,NOK,SEK,1,0.972545,0.985545,0.972545,0.985545,29/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4526,5.5346,5.4526,5.5346,29/6
Polen,PLN/SEK,PLN,SEK,1,2.5649,2.6049,2.5649,2.6049,29/6
Ryssland,RUB/SEK,RUB,SEK,1,0.122025,0.126405,0.122025,0.126405,29/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5563,2.6205,2.5563,2.6205,29/6
Schweiz,CHF/SEK,CHF,SEK,1,11.96045,12.07245,11.96045,12.07245,29/6
Singapore,SGD/SEK,SGD,SEK,1,7.4794,7.5508,7.4794,7.5508,29/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.7716,12.9116,12.7716,12.9116,29/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5825,0.6006,0.5825,0.6006,29/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006215,0.006387,0.006215,0.006387,29/6
Thailand,THB/SEK,THB,SEK,1,0.2894,0.2953,0.2894,0.2953,29/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.45341,0.46001,0.45341,0.46001,29/6
Turkiet,TRY/SEK,TRY,SEK,1,0.1738,0.2427,0.1738,0.2427,29/6
Ungern,HUF/SEK,HUF,SEK,1,0.030892,0.031654,0.030892,0.031654,29/6
USA,USD/SEK,USD,SEK,1,9.6543,9.7893,9.6543,9.7893,29/6
