pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5148,2.5839,2.5839,2.5148,2026-06-04T09:15:39.673418Z,2026-06-04T09:15:39.673418Z
AUD/SEK,AUD,SEK,1,6.6107,6.7418,6.7418,6.6107,2026-06-04T09:15:39.652560Z,2026-06-04T09:15:39.652560Z
BDT/SEK,BDT,SEK,1,0.073716,0.078647,0.078647,0.073716,2026-06-04T09:15:39.654857Z,2026-06-04T09:15:39.654857Z
BHD/SEK,BHD,SEK,1,24.4915,25.1748,25.1748,24.4915,2026-06-04T09:15:39.672075Z,2026-06-04T09:15:39.672075Z
CAD/SEK,CAD,SEK,1,6.6662,6.7983,6.7983,6.6662,2026-06-04T09:15:39.672914Z,2026-06-04T09:15:39.672914Z
CHF/SEK,CHF,SEK,1,11.7308,11.9635,11.9635,11.7308,2026-06-04T09:15:39.653249Z,2026-06-04T09:15:39.653249Z
CNH/SEK,CNH,SEK,1,1.3631,1.4005,1.4005,1.3631,2026-06-04T09:15:39.701640Z,2026-06-04T09:15:39.701640Z
CNY/SEK,CNY,SEK,1,1.35398,1.40975,1.40975,1.35398,2026-06-04T09:15:39.670595Z,2026-06-04T09:15:39.670595Z
CZK/SEK,CZK,SEK,1,0.44466,0.45364,0.45364,0.44466,2026-06-04T09:15:39.654113Z,2026-06-04T09:15:39.654113Z
DKK/SEK,DKK,SEK,1,1.44145,1.47008,1.47008,1.44145,2026-06-04T09:15:39.673474Z,2026-06-04T09:15:39.673474Z
EGP/SEK,EGP,SEK,1,0.175,0.1862,0.1862,0.175,2026-06-04T09:15:39.651698Z,2026-06-04T09:15:39.651698Z
EUR/SEK,EUR,SEK,1,10.7683,10.9818,10.9818,10.7683,2026-06-04T10:06:08.969031Z,2026-06-04T10:06:08.969031Z
GBP/SEK,GBP,SEK,1,12.4572,12.704,12.704,12.4572,2026-06-04T09:15:39.680155Z,2026-06-04T09:15:39.680155Z
GIP/SEK,GIP,SEK,1,12.449924,12.711216,12.711216,12.449924,2026-06-04T09:15:39.718392Z,2026-06-04T09:15:39.718392Z
HKD/SEK,HKD,SEK,1,1.17901,1.2114,1.2114,1.17901,2026-06-04T09:15:39.652557Z,2026-06-04T09:15:39.652557Z
HUF/SEK,HUF,SEK,1,0.030339,0.030957,0.030957,0.030339,2026-06-04T09:15:39.655471Z,2026-06-04T09:15:39.655471Z
IDR/SEK,IDR,SEK,1,0.0005085,0.0005301,0.0005301,0.0005085,2026-06-04T09:15:39.708820Z,2026-06-04T09:15:39.708820Z
ILS/SEK,ILS,SEK,1,3.193,3.2819,3.2819,3.193,2026-06-04T09:15:39.655630Z,2026-06-04T09:15:39.655630Z
INR/SEK,INR,SEK,1,0.09581,0.09974,0.09974,0.09581,2026-06-04T09:15:39.671382Z,2026-06-04T09:15:39.671382Z
ISK/SEK,ISK,SEK,1,0.0742,0.0774,0.0774,0.0742,2026-06-04T09:15:39.653336Z,2026-06-04T09:15:39.653336Z
JPY/SEK,JPY,SEK,1,0.058002,0.059151,0.059151,0.058002,2026-06-04T09:15:39.671343Z,2026-06-04T09:15:39.671343Z
KES/SEK,KES,SEK,1,0.0709,0.0739,0.0739,0.0709,2026-06-04T09:15:39.654757Z,2026-06-04T09:15:39.654757Z
KRW/SEK,KRW,SEK,1,0.005985,0.006206,0.006206,0.005985,2026-06-04T09:15:39.674219Z,2026-06-04T09:15:39.674219Z
KWD/SEK,KWD,SEK,1,29.8869,30.7486,30.7486,29.8869,2026-06-04T09:15:39.674977Z,2026-06-04T09:15:39.674977Z
KZT/SEK,KZT,SEK,1,0.018933,0.019721,0.019721,0.018933,2026-06-04T09:15:39.702420Z,2026-06-04T09:15:39.702420Z
LKR/SEK,LKR,SEK,1,0.027083,0.028825,0.028825,0.027083,2026-06-04T09:15:39.654632Z,2026-06-04T09:15:39.654632Z
MAD/SEK,MAD,SEK,1,0.9969,1.0382,1.0382,0.9969,2026-06-04T09:15:39.700789Z,2026-06-04T09:15:39.700789Z
MXN/SEK,MXN,SEK,1,0.534,0.54872,0.54872,0.534,2026-06-04T09:15:39.695379Z,2026-06-04T09:15:39.695379Z
MYR/SEK,MYR,SEK,1,2.3047,2.3552,2.3552,2.3047,2026-06-04T09:15:39.683766Z,2026-06-04T09:15:39.683766Z
NOK/SEK,NOK,SEK,1,0.99662,1.01647,1.01647,0.99662,2026-06-04T09:15:39.703166Z,2026-06-04T09:15:39.703166Z
NZD/SEK,NZD,SEK,1,5.4408,5.549,5.549,5.4408,2026-06-04T09:15:39.697238Z,2026-06-04T09:15:39.697238Z
PEN/SEK,PEN,SEK,1,2.684703,2.796179,2.796179,2.684703,2026-06-04T09:15:39.706738Z,2026-06-04T09:15:39.706738Z
PHP/SEK,PHP,SEK,1,0.1488,0.1551,0.1551,0.1488,2026-06-04T09:15:39.653865Z,2026-06-04T09:15:39.653865Z
PKR/SEK,PKR,SEK,1,0.0325,0.0347,0.0347,0.0325,2026-06-04T09:15:39.714305Z,2026-06-04T09:15:39.714305Z
PLN/SEK,PLN,SEK,1,2.54184,2.59254,2.59254,2.54184,2026-06-04T09:15:39.653083Z,2026-06-04T09:15:39.653083Z
QAR/SEK,QAR,SEK,1,2.5161,2.6209,2.6209,2.5161,2026-06-04T09:15:39.714467Z,2026-06-04T09:15:39.714467Z
RON/SEK,RON,SEK,1,2.0487,2.0899,2.0899,2.0487,2026-06-04T09:15:39.673769Z,2026-06-04T09:15:39.673769Z
RSD/SEK,RSD,SEK,1,0.090732,0.094642,0.094642,0.090732,2026-06-04T09:15:39.707576Z,2026-06-04T09:15:39.707576Z
SAR/SEK,SAR,SEK,1,2.4599,2.5278,2.5278,2.4599,2026-06-04T09:15:39.702626Z,2026-06-04T09:15:39.702626Z
SGD/SEK,SGD,SEK,1,7.2241,7.3673,7.3673,7.2241,2026-06-04T09:15:39.672202Z,2026-06-04T09:15:39.672202Z
