pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0497,11.0528,11.0513,926,EUR/SEK Spot,11.0513,11.0497,11.0528
USD/SEK,USD,SEK,1,9.6608,9.6636,9.6622,150,USD/SEK Spot,9.6622,9.6608,9.6636
GBP/SEK,GBP,SEK,1,12.9806,12.9906,12.9856,72825,GBP/SEK Spot,12.9856,12.9806,12.9906
JPY/SEK,JPY,SEK,1,5.943,5.953,5.948,117083,JPY/SEK Spot,5.948,5.943,5.953
CHF/SEK,CHF,SEK,1,11.9701,11.9801,11.9751,72829,CHF/SEK Spot,11.9751,11.9701,11.9801
NOK/SEK,NOK,SEK,1,0.9989,0.9999,0.9994,72828,NOK/SEK Spot,0.9994,0.9989,0.9999
DKK/SEK,DKK,SEK,1,1.4781,1.4791,1.4786,72826,DKK/SEK Spot,1.4786,1.4781,1.4791
CAD/SEK,CAD,SEK,1,6.8796,6.8896,6.8846,51623,CAD/SEK Spot,6.8846,6.8796,6.8896
AUD/SEK,AUD,SEK,1,6.7318,6.7328,6.7323,117438,AUD/SEK Spot,6.7323,6.7318,6.7328
NZD/SEK,NZD,SEK,1,5.6292,5.6302,5.6297,117521,NZD/SEK Spot,5.6297,5.6292,5.6302
