pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.58680,6.67510,AUD,Australiensiska dollar,6.58680,6.67510,6.63095,11:59:59
BRL/SEK,BRL,SEK,1,1.8015,1.9023,BRL,Brasilianska real,1.8015,1.9023,1.8519,11:59:59
CAD/SEK,CAD,SEK,1,6.6677,6.7557,CAD,Kanadensiska dollar,6.6677,6.7557,6.7117,11:59:59
CHF/SEK,CHF,SEK,1,11.75520,11.89310,CHF,Schweiziska franc,11.75520,11.89310,11.82415,11:59:59
CNY/SEK,CNY,SEK,1,1.3726,1.4032,CNY,Kinesiska yuan,1.3726,1.4032,1.3879,11:59:59
CZK/SEK,CZK,SEK,1,0.44636,0.45566,CZK,Tjeckiska koruna,0.44636,0.45566,0.45101,11:59:59
DKK/SEK,DKK,SEK,1,1.4481,1.4647,DKK,Danska kronor,1.4481,1.4647,1.4564,11:59:59
EUR/SEK,EUR,SEK,1,10.8184,10.9520,EUR,Euro,10.8184,10.9520,10.8852,11:59:59
GBP/SEK,GBP,SEK,1,12.5192,12.6648,GBP,Pound sterling,12.5192,12.6648,12.5920,11:59:59
HKD/SEK,HKD,SEK,1,1.18480,1.20930,HKD,Hong Kong dollar,1.18480,1.20930,1.19705,11:59:59
HUF/SEK,HUF,SEK,1,0.0305210,0.0315500,HUF,Ungerska forint,0.0305210,0.0315500,0.0310355,11:59:59
ILS/SEK,ILS,SEK,1,3.1461,3.3049,ILS,Israelska new shekel,3.1461,3.3049,3.2255,11:59:59
INR/SEK,INR,SEK,1,0.095684,0.102330,INR,Indiska rupees,0.095684,0.102330,0.099007,11:59:59
JPY/SEK,JPY,SEK,1,0.0580550,0.0590820,JPY,Japanska yen,0.0580550,0.0590820,0.0585685,11:59:59
NOK/SEK,NOK,SEK,1,0.9779,0.9927,NOK,Norska kronor,0.9779,0.9927,0.9853,11:59:59
NZD/SEK,NZD,SEK,1,5.4354,5.5236,NZD,Nya Zeeländska dollar,5.4354,5.5236,5.4795,11:59:59
PLN/SEK,PLN,SEK,1,2.53420,2.59590,PLN,Polska zloty,2.53420,2.59590,2.56505,11:59:59
SGD/SEK,SGD,SEK,1,7.27390,7.35720,SGD,Singapore dollar,7.27390,7.35720,7.31555,11:59:59
THB/SEK,THB,SEK,1,0.28143,0.29463,THB,Thailändska baht,0.28143,0.29463,0.28803,11:59:59
TRY/SEK,TRY,SEK,1,0.184590,0.220700,TRY,Turkiska lira,0.184590,0.220700,0.202645,11:59:59
USD/SEK,USD,SEK,1,9.31160,9.44490,USD,Amerikanska dollar,9.31160,9.44490,9.37825,11:59:59
ZAR/SEK,ZAR,SEK,1,0.569260,0.589670,ZAR,Sydafrikanska rand,0.569260,0.589670,0.579465,11:59:59
