country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.646,6.7446,2026-08-03
Danmark,Dansk krona,DKK,1.4584,1.4801,2026-08-03
Euro,Euro,EUR,10.902,11.063,2026-08-03
Hong Kong,Hongkong dollar,HKD,1.1995,1.2302,2026-08-03
Indien,Indisk rupie,INR,0.0975,0.1026,2026-08-03
Japan,Japanskt yen,JPY,0.0603,0.0612,2026-08-03
Kanada,Kanadensisk dollar,CAD,6.737,6.8371,2026-08-03
Kina,Kinesisk yuan,CNY,1.3917,1.4299,2026-08-03
Mexiko,Mexikansk peso,MXN,0.5429,0.5571,2026-08-03
Norge,Norsk krona,NOK,0.9928,1.0077,2026-08-03
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5575,5.6409,2026-08-03
Polen,Polsk zloty,PLN,2.533,2.5712,2026-08-03
Schweiz,Schweizisk franc,CHF,11.686,11.8592,2026-08-03
Singapore,Singaporiansk dollar,SGD,7.3752,7.485,2026-08-03
Storbritannien,Brittiskt pund,GBP,12.7302,12.9194,2026-08-03
Sydafrika,Sydafrikansk rand,ZAR,0.5716,0.5863,2026-08-03
Thailand,Thailänsk bath,THB,0.2821,0.2897,2026-08-03
Tjeckien,Tjeckisk krona,CZK,0.4502,0.457,2026-08-03
Turkiet,Turkisk lira,TRY,0.1977,0.2029,2026-08-03
Ungern,Ungersk forint,HUF,0.0298,0.0306,2026-08-03
USA,Amerikansk dollar,USD,9.4577,9.5978,2026-08-03
