pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8853,10.8875,10.8864,926,EUR/SEK Spot,10.8864,10.8853,10.8875
USD/SEK,USD,SEK,1,9.3711,9.3741,9.3726,150,USD/SEK Spot,9.3726,9.3711,9.3741
GBP/SEK,GBP,SEK,1,12.586,12.596,12.591,72825,GBP/SEK Spot,12.591,12.586,12.596
JPY/SEK,JPY,SEK,1,5.848,5.858,5.853,117083,JPY/SEK Spot,5.853,5.848,5.858
CHF/SEK,CHF,SEK,1,11.8183,11.8283,11.8233,72829,CHF/SEK Spot,11.8233,11.8183,11.8283
NOK/SEK,NOK,SEK,1,0.984,0.985,0.9845,72828,NOK/SEK Spot,0.9845,0.984,0.985
DKK/SEK,DKK,SEK,1,1.4561,1.4571,1.4566,72826,DKK/SEK Spot,1.4566,1.4561,1.4571
CAD/SEK,CAD,SEK,1,6.7025,6.7125,6.7075,51623,CAD/SEK Spot,6.7075,6.7025,6.7125
AUD/SEK,AUD,SEK,1,6.628,6.629,6.6285,117438,AUD/SEK Spot,6.6285,6.628,6.629
NZD/SEK,NZD,SEK,1,5.4754,5.4764,5.4759,117521,NZD/SEK Spot,5.4759,5.4754,5.4764
