pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8795,10.8823,10.8809,926,EUR/SEK Spot,10.8809,10.8795,10.8823
USD/SEK,USD,SEK,1,9.3531,9.3558,9.3544,150,USD/SEK Spot,9.3544,9.3531,9.3558
GBP/SEK,GBP,SEK,1,12.5694,12.5794,12.5744,72825,GBP/SEK Spot,12.5744,12.5694,12.5794
JPY/SEK,JPY,SEK,1,5.847,5.857,5.852,117083,JPY/SEK Spot,5.852,5.847,5.857
CHF/SEK,CHF,SEK,1,11.8448,11.8548,11.8498,72829,CHF/SEK Spot,11.8498,11.8448,11.8548
NOK/SEK,NOK,SEK,1,1.005,1.006,1.0055,72828,NOK/SEK Spot,1.0055,1.005,1.006
DKK/SEK,DKK,SEK,1,1.4553,1.4563,1.4558,72826,DKK/SEK Spot,1.4558,1.4553,1.4563
CAD/SEK,CAD,SEK,1,6.7262,6.7362,6.7312,51623,CAD/SEK Spot,6.7312,6.7262,6.7362
AUD/SEK,AUD,SEK,1,6.6774,6.6784,6.6779,117438,AUD/SEK Spot,6.6779,6.6774,6.6784
NZD/SEK,NZD,SEK,1,5.4975,5.4985,5.498,117521,NZD/SEK Spot,5.498,5.4975,5.4985
