country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6437,6.7238,6.6437,6.7238,18/6
Danmark,DKK/SEK,DKK,SEK,1,1.45568,1.47168,1.45568,1.47168,18/6
Euro,EUR/SEK,EUR,SEK,1,10.8706,11.0106,10.8706,11.0106,18/6
Hongkong,HKD/SEK,HKD,SEK,1,1.2003,1.2265,1.2003,1.2265,18/6
Indien,INR/SEK,INR,SEK,1,0.097812,0.104012,0.097812,0.104012,18/6
Indonesien,IDR/SEK,IDR,SEK,1,0.00052,0.000553,0.00052,0.000553,18/6
Island,ISK/SEK,ISK,SEK,1,0.075592,0.075932,0.075592,0.075932,18/6
Japan,JPY/SEK,JPY,SEK,1,0.058737,0.059677,0.058737,0.059677,18/6
Kanada,CAD/SEK,CAD,SEK,1,6.6964,6.7824,6.6964,6.7824,18/6
Kina,CNY/SEK,CNY,SEK,1,1.3963,1.4163,1.3963,1.4163,18/6
Malaysia,MYR/SEK,MYR,SEK,1,2.301038,2.331038,2.301038,2.331038,18/6
Marocko,MAD/SEK,MAD,SEK,1,1.005,1.0397,1.005,1.0397,18/6
Mexiko,MXN/SEK,MXN,SEK,1,0.543,0.5571,0.543,0.5571,18/6
Norge,NOK/SEK,NOK,SEK,1,0.982165,0.995165,0.982165,0.995165,18/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4564,5.5384,5.4564,5.5384,18/6
Polen,PLN/SEK,PLN,SEK,1,2.5523,2.5923,2.5523,2.5923,18/6
Ryssland,RUB/SEK,RUB,SEK,1,0.126475,0.130855,0.126475,0.130855,18/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5016,2.5658,2.5016,2.5658,18/6
Schweiz,CHF/SEK,CHF,SEK,1,11.8227,11.9347,11.8227,11.9347,18/6
Singapore,SGD/SEK,SGD,SEK,1,7.3465,7.418,7.3465,7.418,18/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.5598,12.6998,12.5598,12.6998,18/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5721,0.5902,0.5721,0.5902,18/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006126,0.006299,0.006126,0.006299,18/6
Thailand,THB/SEK,THB,SEK,1,0.2878,0.2936,0.2878,0.2936,18/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.44946,0.45606,0.44946,0.45606,18/6
Turkiet,TRY/SEK,TRY,SEK,1,0.1702,0.239,0.1702,0.239,18/6
Ungern,HUF/SEK,HUF,SEK,1,0.030755,0.031516,0.030755,0.031516,18/6
USA,USD/SEK,USD,SEK,1,9.4421,9.5772,9.4421,9.5772,18/6
