pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0851,11.0879,11.0865,926,EUR/SEK Spot,11.0865,11.0851,11.0879
USD/SEK,USD,SEK,1,9.7168,9.7197,9.7182,150,USD/SEK Spot,9.7182,9.7168,9.7197
GBP/SEK,GBP,SEK,1,12.8527,12.8627,12.8577,72825,GBP/SEK Spot,12.8577,12.8527,12.8627
JPY/SEK,JPY,SEK,1,5.999,6.009,6.004,117083,JPY/SEK Spot,6.004,5.999,6.009
CHF/SEK,CHF,SEK,1,12.0178,12.0278,12.0228,72829,CHF/SEK Spot,12.0228,12.0178,12.0278
NOK/SEK,NOK,SEK,1,0.9782,0.9792,0.9787,72828,NOK/SEK Spot,0.9787,0.9782,0.9792
DKK/SEK,DKK,SEK,1,1.4827,1.4837,1.4832,72826,DKK/SEK Spot,1.4832,1.4827,1.4837
CAD/SEK,CAD,SEK,1,6.8356,6.8456,6.8406,51623,CAD/SEK Spot,6.8406,6.8356,6.8456
AUD/SEK,AUD,SEK,1,6.705,6.706,6.7055,117438,AUD/SEK Spot,6.7055,6.705,6.706
NZD/SEK,NZD,SEK,1,5.4944,5.4954,5.4949,117521,NZD/SEK Spot,5.4949,5.4944,5.4954
