country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.584,6.6822,2026-06-12
Danmark,Dansk krona,DKK,1.4483,1.4699,2026-06-12
Euro,Euro,EUR,10.8257,10.9865,2026-06-12
Hong Kong,Hongkong dollar,HKD,1.1863,1.2167,2026-06-12
Indien,Indisk rupie,INR,0.0964,0.1015,2026-06-12
Japan,Japanskt yen,JPY,0.0584,0.0593,2026-06-12
Kanada,Kanadensisk dollar,CAD,6.6837,6.7835,2026-06-12
Kina,Kinesisk yuan,CNY,1.3737,1.4112,2026-06-12
Mexiko,Mexikansk peso,MXN,0.5404,0.5543,2026-06-12
Norge,Norsk krona,NOK,0.9801,0.9949,2026-06-12
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4512,5.5332,2026-06-12
Polen,Polsk zloty,PLN,2.5488,2.5882,2026-06-12
Schweiz,Schweizisk franc,CHF,11.7483,11.9233,2026-06-12
Singapore,Singaporiansk dollar,SGD,7.2824,7.3911,2026-06-12
Storbritannien,Brittiskt pund,GBP,12.5412,12.7283,2026-06-12
Sydafrika,Sydafrikansk rand,ZAR,0.5713,0.5861,2026-06-12
Thailand,Thailänsk bath,THB,0.2844,0.2921,2026-06-12
Tjeckien,Tjeckisk krona,CZK,0.4478,0.4547,2026-06-12
Turkiet,Turkisk lira,TRY,0.2008,0.206,2026-06-12
Ungern,Ungersk forint,HUF,0.0305,0.0313,2026-06-12
USA,Amerikansk dollar,USD,9.3452,9.4844,2026-06-12
