pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.71810,6.80640,AUD,Australiensiska dollar,6.71810,6.80640,6.76225,2026-07-15
BRL/SEK,BRL,SEK,1,1.85690,1.95780,BRL,Brasilianska real,1.85690,1.95780,1.90735,2026-07-15
CAD/SEK,CAD,SEK,1,6.8408,6.9288,CAD,Kanadensiska dollar,6.8408,6.9288,6.8848,2026-07-15
CHF/SEK,CHF,SEK,1,11.86810,12.00600,CHF,Schweiziska franc,11.86810,12.00600,11.93705,2026-07-15
CNY/SEK,CNY,SEK,1,1.4134,1.4442,CNY,Kinesiska yuan,1.4134,1.4442,1.4288,2026-07-15
CZK/SEK,CZK,SEK,1,0.45154,0.46084,CZK,Tjeckiska koruna,0.45154,0.46084,0.45619,2026-07-15
DKK/SEK,DKK,SEK,1,1.4700,1.4866,DKK,Danska kronor,1.4700,1.4866,1.4783,2026-07-15
EUR/SEK,EUR,SEK,1,10.9844,11.1180,EUR,Euro,10.9844,11.1180,11.0512,2026-07-15
GBP/SEK,GBP,SEK,1,12.8880,13.0342,GBP,Pound sterling,12.8880,13.0342,12.9611,2026-07-15
HKD/SEK,HKD,SEK,1,1.2225,1.2471,HKD,Hong Kong dollar,1.2225,1.2471,1.2348,2026-07-15
HUF/SEK,HUF,SEK,1,0.0302400,0.0312690,HUF,Ungerska forint,0.0302400,0.0312690,0.0307545,2026-07-15
ILS/SEK,ILS,SEK,1,3.15340,3.31190,ILS,Israelska new shekel,3.15340,3.31190,3.23265,2026-07-15
INR/SEK,INR,SEK,1,0.097240,0.103890,INR,Indiska rupees,0.097240,0.103890,0.100565,2026-07-15
JPY/SEK,JPY,SEK,1,0.059101,0.060131,JPY,Japanska yen,0.059101,0.060131,0.059616,2026-07-15
NOK/SEK,NOK,SEK,1,0.9877,1.0025,NOK,Norska kronor,0.9877,1.0025,0.9951,2026-07-15
NZD/SEK,NZD,SEK,1,5.5880,5.6760,NZD,Nya Zeeländska dollar,5.5880,5.6760,5.6320,2026-07-15
PLN/SEK,PLN,SEK,1,2.52270,2.58440,PLN,Polska zloty,2.52270,2.58440,2.55355,2026-07-15
SGD/SEK,SGD,SEK,1,7.45010,7.53340,SGD,Singapore dollar,7.45010,7.53340,7.49175,2026-07-15
THB/SEK,THB,SEK,1,0.28131,0.29451,THB,Thailändska baht,0.28131,0.29451,0.28791,2026-07-15
TRY/SEK,TRY,SEK,1,0.187770,0.223880,TRY,Turkiska lira,0.187770,0.223880,0.205825,2026-07-15
USD/SEK,USD,SEK,1,9.6130,9.7464,USD,Amerikanska dollar,9.6130,9.7464,9.6797,2026-07-15
ZAR/SEK,ZAR,SEK,1,0.58064,0.60104,ZAR,Sydafrikanska rand,0.58064,0.60104,0.59084,2026-07-15
