country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.7122,6.7922,6.7122,6.7922,20/7
Danmark,DKK/SEK,DKK,SEK,1,1.467905,1.483905,1.467905,1.483905,20/7
Euro,EUR/SEK,EUR,SEK,1,10.96195,11.10195,10.96195,11.10195,20/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2165,1.2427,1.2165,1.2427,20/7
Indien,INR/SEK,INR,SEK,1,0.096965,0.103166,0.096965,0.103166,20/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000524,0.000557,0.000524,0.000557,20/7
Island,ISK/SEK,ISK,SEK,1,0.076771,0.077111,0.076771,0.077111,20/7
Japan,JPY/SEK,JPY,SEK,1,0.058915,0.059855,0.058915,0.059855,20/7
Kanada,CAD/SEK,CAD,SEK,1,6.8354,6.9214,6.8354,6.9214,20/7
Kina,CNY/SEK,CNY,SEK,1,1.4146,1.4346,1.4146,1.4346,20/7
Malaysia,MYR/SEK,MYR,SEK,1,2.343817,2.373817,2.343817,2.373817,20/7
Marocko,MAD/SEK,MAD,SEK,1,1.0146,1.0492,1.0146,1.0492,20/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5441,0.5582,0.5441,0.5582,20/7
Norge,NOK/SEK,NOK,SEK,1,0.99489,1.00789,0.99489,1.00789,20/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.6083,5.6904,5.6083,5.6904,20/7
Polen,PLN/SEK,PLN,SEK,1,2.5241,2.5642,2.5241,2.5642,20/7
Ryssland,RUB/SEK,RUB,SEK,1,0.119765,0.124145,0.119765,0.124145,20/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5352,2.5994,2.5352,2.5994,20/7
Schweiz,CHF/SEK,CHF,SEK,1,11.8975,12.0095,11.8975,12.0095,20/7
Singapore,SGD/SEK,SGD,SEK,1,7.4387,7.5101,7.4387,7.5101,20/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.9222,13.0623,12.9222,13.0623,20/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5761,0.5942,0.5761,0.5942,20/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006439,0.006611,0.006439,0.006611,20/7
Thailand,THB/SEK,THB,SEK,1,0.2839,0.2897,0.2839,0.2897,20/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.452555,0.459155,0.452555,0.459155,20/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1698,0.2386,0.1698,0.2386,20/7
Ungern,HUF/SEK,HUF,SEK,1,0.030132,0.030893,0.030132,0.030893,20/7
USA,USD/SEK,USD,SEK,1,9.5747,9.7098,9.5747,9.7098,20/7
