pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0895,11.0931,11.0913,926,EUR/SEK Spot,11.0913,11.0895,11.0931
USD/SEK,USD,SEK,1,9.7779,9.7808,9.7794,150,USD/SEK Spot,9.7794,9.7779,9.7808
GBP/SEK,GBP,SEK,1,12.8697,12.8797,12.8747,72825,GBP/SEK Spot,12.8747,12.8697,12.8797
JPY/SEK,JPY,SEK,1,6.041,6.051,6.046,117083,JPY/SEK Spot,6.046,6.041,6.051
CHF/SEK,CHF,SEK,1,12.0305,12.0405,12.0355,72829,CHF/SEK Spot,12.0355,12.0305,12.0405
NOK/SEK,NOK,SEK,1,0.9936,0.9946,0.9941,72828,NOK/SEK Spot,0.9941,0.9936,0.9946
DKK/SEK,DKK,SEK,1,1.4831,1.4841,1.4836,72826,DKK/SEK Spot,1.4836,1.4831,1.4841
CAD/SEK,CAD,SEK,1,6.8634,6.8734,6.8684,51623,CAD/SEK Spot,6.8684,6.8634,6.8734
AUD/SEK,AUD,SEK,1,6.733,6.734,6.7335,117438,AUD/SEK Spot,6.7335,6.733,6.734
NZD/SEK,NZD,SEK,1,5.5095,5.5105,5.51,117521,NZD/SEK Spot,5.51,5.5095,5.5105
