pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5297,2.6141,2.6141,2.5297,2026-06-05T22:33:07.771082Z,2026-06-05T22:33:07.771082Z
AUD/SEK,AUD,SEK,1,6.5292,6.8165,6.8165,6.5292,2026-06-05T22:33:07.954080Z,2026-06-05T22:33:07.954080Z
BDT/SEK,BDT,SEK,1,0.074301,0.079612,0.079612,0.074301,2026-06-05T22:33:08.150198Z,2026-06-05T22:33:08.150198Z
BHD/SEK,BHD,SEK,1,24.6401,25.4618,25.4618,24.6401,2026-06-05T22:33:07.737916Z,2026-06-05T22:33:07.737916Z
CAD/SEK,CAD,SEK,1,6.6549,6.9194,6.9194,6.6549,2026-06-05T22:33:08.189727Z,2026-06-05T22:33:08.189727Z
CHF/SEK,CHF,SEK,1,11.7064,12.042,12.042,11.7064,2026-06-05T22:33:07.766329Z,2026-06-05T22:33:07.766329Z
CNH/SEK,CNH,SEK,1,1.3665,1.4164,1.4164,1.3665,2026-06-05T22:33:07.774927Z,2026-06-05T22:33:07.774927Z
CNY/SEK,CNY,SEK,1,1.35983,1.42342,1.42342,1.35983,2026-06-05T22:33:07.550568Z,2026-06-05T22:33:07.550568Z
CZK/SEK,CZK,SEK,1,0.44215,0.4578,0.4578,0.44215,2026-06-05T22:33:07.777030Z,2026-06-05T22:33:07.777030Z
DKK/SEK,DKK,SEK,1,1.43527,1.47733,1.47733,1.43527,2026-06-05T22:33:07.469589Z,2026-06-05T22:33:07.469589Z
EGP/SEK,EGP,SEK,1,0.1762,0.1884,0.1884,0.1762,2026-06-05T22:33:07.496268Z,2026-06-05T22:33:07.496268Z
EUR/SEK,EUR,SEK,1,10.728,11.0405,11.0405,10.728,2026-06-05T22:07:33.444353Z,2026-06-05T22:07:33.444353Z
GBP/SEK,GBP,SEK,1,12.3101,12.99,12.99,12.3101,2026-06-05T22:33:07.537836Z,2026-06-05T22:33:07.537836Z
GIP/SEK,GIP,SEK,1,12.426832,12.780824,12.780824,12.426832,2026-06-05T22:33:07.505416Z,2026-06-05T22:33:07.505416Z
HKD/SEK,HKD,SEK,1,1.18547,1.22633,1.22633,1.18547,2026-06-05T22:33:07.562044Z,2026-06-05T22:33:07.562044Z
HUF/SEK,HUF,SEK,1,0.030114,0.031249,0.031249,0.030114,2026-06-05T22:33:07.766744Z,2026-06-05T22:33:07.766744Z
IDR/SEK,IDR,SEK,1,0.0005122,0.0005363,0.0005363,0.0005122,2026-06-05T22:33:07.542536Z,2026-06-05T22:33:07.542536Z
ILS/SEK,ILS,SEK,1,3.0957,3.3424,3.3424,3.0957,2026-06-05T22:33:07.529860Z,2026-06-05T22:33:07.529860Z
INR/SEK,INR,SEK,1,0.09723,0.10177,0.10177,0.09723,2026-06-05T22:33:07.500961Z,2026-06-05T22:33:07.500961Z
ISK/SEK,ISK,SEK,1,0.0738,0.0778,0.0778,0.0738,2026-06-05T22:33:07.765562Z,2026-06-05T22:33:07.765562Z
JPY/SEK,JPY,SEK,1,0.058132,0.059777,0.059777,0.058132,2026-06-05T22:33:07.958050Z,2026-06-05T22:33:07.958050Z
KES/SEK,KES,SEK,1,0.0713,0.0748,0.0748,0.0713,2026-06-05T22:33:08.085291Z,2026-06-05T22:33:08.085291Z
KRW/SEK,KRW,SEK,1,0.005936,0.00619,0.00619,0.005936,2026-06-05T22:33:08.089225Z,2026-06-05T22:33:08.089225Z
KWD/SEK,KWD,SEK,1,30.0655,31.0962,31.0962,30.0655,2026-06-05T22:33:07.705728Z,2026-06-05T22:33:07.705728Z
KZT/SEK,KZT,SEK,1,0.018966,0.019893,0.019893,0.018966,2026-06-05T22:33:08.193378Z,2026-06-05T22:33:08.193378Z
LKR/SEK,LKR,SEK,1,0.027297,0.029219,0.029219,0.027297,2026-06-05T22:33:08.115994Z,2026-06-05T22:33:08.115994Z
MAD/SEK,MAD,SEK,1,0.9976,1.045,1.045,0.9976,2026-06-05T22:33:07.741891Z,2026-06-05T22:33:07.741891Z
MXN/SEK,MXN,SEK,1,0.5131,0.55733,0.55733,0.5131,2026-06-05T22:33:07.890746Z,2026-06-05T22:33:07.890746Z
MYR/SEK,MYR,SEK,1,2.3123,2.3759,2.3759,2.3123,2026-06-05T22:33:08.154419Z,2026-06-05T22:33:08.154419Z
NOK/SEK,NOK,SEK,1,0.98575,1.01127,1.01127,0.98575,2026-06-05T22:33:08.124007Z,2026-06-05T22:33:08.124007Z
NZD/SEK,NZD,SEK,1,5.4,5.5462,5.5462,5.4,2026-06-05T22:33:07.529863Z,2026-06-05T22:33:07.529863Z
PEN/SEK,PEN,SEK,1,2.657282,2.787529,2.787529,2.657282,2026-06-05T22:33:07.496578Z,2026-06-05T22:33:07.496578Z
PHP/SEK,PHP,SEK,1,0.1501,0.1572,0.1572,0.1501,2026-06-05T22:33:08.186127Z,2026-06-05T22:33:08.186127Z
PKR/SEK,PKR,SEK,1,0.0328,0.035,0.035,0.0328,2026-06-05T22:33:08.158094Z,2026-06-05T22:33:08.158094Z
PLN/SEK,PLN,SEK,1,2.4985,2.63127,2.63127,2.4985,2026-06-05T22:33:08.186323Z,2026-06-05T22:33:08.186323Z
QAR/SEK,QAR,SEK,1,2.5316,2.6505,2.6505,2.5316,2026-06-05T22:33:07.501077Z,2026-06-05T22:33:07.501077Z
RON/SEK,RON,SEK,1,2.0431,2.1076,2.1076,2.0431,2026-06-05T22:33:08.120303Z,2026-06-05T22:33:08.120303Z
RSD/SEK,RSD,SEK,1,0.090418,0.095123,0.095123,0.090418,2026-06-05T22:33:08.092684Z,2026-06-05T22:33:08.092684Z
SAR/SEK,SAR,SEK,1,2.4735,2.557,2.557,2.4735,2026-06-05T22:33:07.774878Z,2026-06-05T22:33:07.774878Z
SGD/SEK,SGD,SEK,1,7.1709,7.5343,7.5343,7.1709,2026-06-05T22:33:08.190296Z,2026-06-05T22:33:08.190296Z
THB/SEK,THB,SEK,1,0.28274,0.29456,0.29456,0.28274,2026-06-05T22:33:07.594568Z,2026-06-05T22:33:07.594568Z
TND/SEK,TND,SEK,1,3.1509,3.3098,3.3098,3.1509,2026-06-05T22:33:07.770258Z,2026-06-05T22:33:07.770258Z
TRY/SEK,TRY,SEK,1,0.1997,0.2102,0.2102,0.1997,2026-06-05T22:33:07.961979Z,2026-06-05T22:33:07.961979Z
USD/SEK,USD,SEK,1,9.3284,9.565,9.565,9.3284,2026-06-05T22:33:08.193954Z,2026-06-05T22:33:08.193954Z
ZAR/SEK,ZAR,SEK,1,0.55978,0.58055,0.58055,0.55978,2026-06-05T22:33:07.768209Z,2026-06-05T22:33:07.768209Z
