pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0775,11.0802,11.0789,926,EUR/SEK Spot,11.0789,11.0775,11.0802
USD/SEK,USD,SEK,1,9.7057,9.7084,9.707,150,USD/SEK Spot,9.707,9.7057,9.7084
GBP/SEK,GBP,SEK,1,12.9804,12.9904,12.9854,72825,GBP/SEK Spot,12.9854,12.9804,12.9904
JPY/SEK,JPY,SEK,1,5.938,5.948,5.943,117083,JPY/SEK Spot,5.943,5.938,5.948
CHF/SEK,CHF,SEK,1,11.9107,11.9207,11.9157,72829,CHF/SEK Spot,11.9157,11.9107,11.9207
NOK/SEK,NOK,SEK,1,1.012,1.013,1.0125,72828,NOK/SEK Spot,1.0125,1.012,1.013
DKK/SEK,DKK,SEK,1,1.4817,1.4827,1.4822,72826,DKK/SEK Spot,1.4822,1.4817,1.4827
CAD/SEK,CAD,SEK,1,6.8898,6.8998,6.8948,51623,CAD/SEK Spot,6.8948,6.8898,6.8998
AUD/SEK,AUD,SEK,1,6.796,6.797,6.7965,117438,AUD/SEK Spot,6.7965,6.796,6.797
NZD/SEK,NZD,SEK,1,5.6284,5.6294,5.6289,117521,NZD/SEK Spot,5.6289,5.6284,5.6294
