pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0249,11.0299,11.0274,926,EUR/SEK Spot,11.0274,11.0249,11.0299
USD/SEK,USD,SEK,1,9.6498,9.6736,9.6617,150,USD/SEK Spot,9.6617,9.6498,9.6736
GBP/SEK,GBP,SEK,1,12.9451,12.9551,12.9501,72825,GBP/SEK Spot,12.9501,12.9451,12.9551
JPY/SEK,JPY,SEK,1,5.971,5.981,5.976,117083,JPY/SEK Spot,5.976,5.971,5.981
CHF/SEK,CHF,SEK,1,11.9468,11.9568,11.9518,72829,CHF/SEK Spot,11.9518,11.9468,11.9568
NOK/SEK,NOK,SEK,1,0.9873,0.9883,0.9878,72828,NOK/SEK Spot,0.9878,0.9873,0.9883
DKK/SEK,DKK,SEK,1,1.475,1.476,1.4755,72826,DKK/SEK Spot,1.4755,1.475,1.476
CAD/SEK,CAD,SEK,1,6.8211,6.8311,6.8261,51623,CAD/SEK Spot,6.8261,6.8211,6.8311
AUD/SEK,AUD,SEK,1,6.7181,6.7191,6.7186,117438,AUD/SEK Spot,6.7186,6.7181,6.7191
NZD/SEK,NZD,SEK,1,5.568,5.569,5.5685,117521,NZD/SEK Spot,5.5685,5.568,5.569
