country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6184,6.7164,2026-06-11
Danmark,Dansk krona,DKK,1.4598,1.4814,2026-06-11
Euro,Euro,EUR,10.911,11.072,2026-06-11
Hong Kong,Hongkong dollar,HKD,1.2009,1.2315,2026-06-11
Indien,Indisk rupie,INR,0.097,0.1021,2026-06-11
Japan,Japanskt yen,JPY,0.0589,0.0598,2026-06-11
Kanada,Kanadensisk dollar,CAD,6.7684,6.8687,2026-06-11
Kina,Kinesisk yuan,CNY,1.3871,1.4249,2026-06-11
Mexiko,Mexikansk peso,MXN,0.5405,0.5543,2026-06-11
Norge,Norsk krona,NOK,0.9939,1.0088,2026-06-11
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4708,5.5526,2026-06-11
Polen,Polsk zloty,PLN,2.5646,2.604,2026-06-11
Schweiz,Schweizisk franc,CHF,11.8311,12.0062,2026-06-11
Singapore,Singaporiansk dollar,SGD,7.3439,7.4528,2026-06-11
Storbritannien,Brittiskt pund,GBP,12.6434,12.8309,2026-06-11
Sydafrika,Sydafrikansk rand,ZAR,0.57,0.5847,2026-06-11
Thailand,Thailänsk bath,THB,0.2854,0.2931,2026-06-11
Tjeckien,Tjeckisk krona,CZK,0.4509,0.4577,2026-06-11
Turkiet,Turkisk lira,TRY,0.2033,0.2087,2026-06-11
Ungern,Ungersk forint,HUF,0.0305,0.0313,2026-06-11
USA,Amerikansk dollar,USD,9.4602,9.6002,2026-06-11
