pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9952,10.9989,10.997,926,EUR/SEK Spot,10.997,10.9952,10.9989
USD/SEK,USD,SEK,1,9.5308,9.5327,9.5318,150,USD/SEK Spot,9.5318,9.5308,9.5327
GBP/SEK,GBP,SEK,1,12.7331,12.7431,12.7381,72825,GBP/SEK Spot,12.7381,12.7331,12.7431
JPY/SEK,JPY,SEK,1,5.933,5.943,5.938,117083,JPY/SEK Spot,5.938,5.933,5.943
CHF/SEK,CHF,SEK,1,11.9241,11.9341,11.9291,72829,CHF/SEK Spot,11.9291,11.9241,11.9341
NOK/SEK,NOK,SEK,1,1.0006,1.0016,1.0011,72828,NOK/SEK Spot,1.0011,1.0006,1.0016
DKK/SEK,DKK,SEK,1,1.471,1.472,1.4715,72826,DKK/SEK Spot,1.4715,1.471,1.472
CAD/SEK,CAD,SEK,1,6.8151,6.8251,6.8201,51623,CAD/SEK Spot,6.8201,6.8151,6.8251
AUD/SEK,AUD,SEK,1,6.6685,6.6695,6.669,117438,AUD/SEK Spot,6.669,6.6685,6.6695
NZD/SEK,NZD,SEK,1,5.5143,5.5153,5.5148,117521,NZD/SEK Spot,5.5148,5.5143,5.5153
