pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.74290,6.83160,AUD,Australiensiska dollar,6.74290,6.83160,6.78725,11:59:59
BRL/SEK,BRL,SEK,1,1.85570,1.95660,BRL,Brasilianska real,1.85570,1.95660,1.90615,11:59:59
CAD/SEK,CAD,SEK,1,6.8591,6.9475,CAD,Kanadensiska dollar,6.8591,6.9475,6.9033,11:59:59
CHF/SEK,CHF,SEK,1,11.81060,11.94970,CHF,Schweiziska franc,11.81060,11.94970,11.88015,11:59:59
CNY/SEK,CNY,SEK,1,1.42390,1.45480,CNY,Kinesiska yuan,1.42390,1.45480,1.43935,11:59:59
CZK/SEK,CZK,SEK,1,0.452700,0.462030,CZK,Tjeckiska koruna,0.452700,0.462030,0.457365,11:59:59
DKK/SEK,DKK,SEK,1,1.4722,1.4888,DKK,Danska kronor,1.4722,1.4888,1.4805,11:59:59
EUR/SEK,EUR,SEK,1,10.9999,11.1335,EUR,Euro,10.9999,11.1335,11.0667,11:59:59
GBP/SEK,GBP,SEK,1,12.8684,13.0146,GBP,Pound sterling,12.8684,13.0146,12.9415,11:59:59
HKD/SEK,HKD,SEK,1,1.2304,1.2550,HKD,Hong Kong dollar,1.2304,1.2550,1.2427,11:59:59
HUF/SEK,HUF,SEK,1,0.0301810,0.0312140,HUF,Ungerska forint,0.0301810,0.0312140,0.0306975,11:59:59
ILS/SEK,ILS,SEK,1,3.1020,3.2604,ILS,Israelska new shekel,3.1020,3.2604,3.1812,11:59:59
INR/SEK,INR,SEK,1,0.098330,0.104980,INR,Indiska rupees,0.098330,0.104980,0.101655,11:59:59
JPY/SEK,JPY,SEK,1,0.0589470,0.0599800,JPY,Japanska yen,0.0589470,0.0599800,0.0594635,11:59:59
NOK/SEK,NOK,SEK,1,0.9969,1.0117,NOK,Norska kronor,0.9969,1.0117,1.0043,11:59:59
NZD/SEK,NZD,SEK,1,5.57400,5.66310,NZD,Nya Zeeländska dollar,5.57400,5.66310,5.61855,11:59:59
PLN/SEK,PLN,SEK,1,2.5268,2.5886,PLN,Polska zloty,2.5268,2.5886,2.5577,11:59:59
SGD/SEK,SGD,SEK,1,7.4912,7.5746,SGD,Singapore dollar,7.4912,7.5746,7.5329,11:59:59
THB/SEK,THB,SEK,1,0.28303,0.29625,THB,Thailändska baht,0.28303,0.29625,0.28964,11:59:59
TRY/SEK,TRY,SEK,1,0.187620,0.223730,TRY,Turkiska lira,0.187620,0.223730,0.205675,11:59:59
USD/SEK,USD,SEK,1,9.67810,9.81160,USD,Amerikanska dollar,9.67810,9.81160,9.74485,11:59:59
ZAR/SEK,ZAR,SEK,1,0.569940,0.590410,ZAR,Sydafrikanska rand,0.569940,0.590410,0.580175,11:59:59
