country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6244,6.7248,2026-06-18
Danmark,Dansk krona,DKK,1.4513,1.4732,2026-06-18
Euro,Euro,EUR,10.8486,11.0117,2026-06-18
Hong Kong,Hongkong dollar,HKD,1.1963,1.2272,2026-06-18
Indien,Indisk rupie,INR,0.098,0.1033,2026-06-18
Japan,Japanskt yen,JPY,0.0587,0.0596,2026-06-18
Kanada,Kanadensisk dollar,CAD,6.6785,6.7796,2026-06-18
Kina,Kinesisk yuan,CNY,1.385,1.4231,2026-06-18
Mexiko,Mexikansk peso,MXN,0.5423,0.5566,2026-06-18
Norge,Norsk krona,NOK,0.9801,0.9953,2026-06-18
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4557,5.5394,2026-06-18
Polen,Polsk zloty,PLN,2.5543,2.5947,2026-06-18
Schweiz,Schweizisk franc,CHF,11.7881,11.9662,2026-06-18
Singapore,Singaporiansk dollar,SGD,7.3189,7.4296,2026-06-18
Storbritannien,Brittiskt pund,GBP,12.5381,12.7291,2026-06-18
Sydafrika,Sydafrikansk rand,ZAR,0.5738,0.5889,2026-06-18
Thailand,Thailänsk bath,THB,0.2868,0.2947,2026-06-18
Tjeckien,Tjeckisk krona,CZK,0.4491,0.4561,2026-06-18
Turkiet,Turkisk lira,TRY,0.2015,0.207,2026-06-18
Ungern,Ungersk forint,HUF,0.0308,0.0316,2026-06-18
USA,Amerikansk dollar,USD,9.4222,9.5641,2026-06-18
