pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.5819,6.6705,AUD,Australiensiska dollar,6.5819,6.6705,6.6262,11:59:59
BRL/SEK,BRL,SEK,1,1.7853,1.8861,BRL,Brasilianska real,1.7853,1.8861,1.8357,11:59:59
CAD/SEK,CAD,SEK,1,6.66240,6.75050,CAD,Kanadensiska dollar,6.66240,6.75050,6.70645,11:59:59
CHF/SEK,CHF,SEK,1,11.75150,11.88800,CHF,Schweiziska franc,11.75150,11.88800,11.81975,11:59:59
CNY/SEK,CNY,SEK,1,1.35300,1.38370,CNY,Kinesiska yuan,1.35300,1.38370,1.36835,11:59:59
CZK/SEK,CZK,SEK,1,0.43922,0.44854,CZK,Tjeckiska koruna,0.43922,0.44854,0.44388,11:59:59
DKK/SEK,DKK,SEK,1,1.4343,1.4509,DKK,Danska kronor,1.4343,1.4509,1.4426,11:59:59
EUR/SEK,EUR,SEK,1,10.71340,10.84750,EUR,Euro,10.71340,10.84750,10.78045,11:59:59
GBP/SEK,GBP,SEK,1,12.3519,12.4977,GBP,Pound sterling,12.3519,12.4977,12.4248,11:59:59
HKD/SEK,HKD,SEK,1,1.1696,1.1942,HKD,Hong Kong dollar,1.1696,1.1942,1.1819,11:59:59
HUF/SEK,HUF,SEK,1,0.029903,0.030951,HUF,Ungerska forint,0.029903,0.030951,0.030427,11:59:59
ILS/SEK,ILS,SEK,1,3.22590,3.38480,ILS,Israelska new shekel,3.22590,3.38480,3.30535,11:59:59
INR/SEK,INR,SEK,1,0.094145,0.100805,INR,Indiska rupees,0.094145,0.100805,0.097475,11:59:59
JPY/SEK,JPY,SEK,1,0.057618,0.058646,JPY,Japanska yen,0.057618,0.058646,0.058132,11:59:59
NOK/SEK,NOK,SEK,1,0.9943,1.0091,NOK,Norska kronor,0.9943,1.0091,1.0017,11:59:59
NZD/SEK,NZD,SEK,1,5.4794,5.5676,NZD,Nya Zeeländska dollar,5.4794,5.5676,5.5235,11:59:59
PLN/SEK,PLN,SEK,1,2.5164,2.5782,PLN,Polska zloty,2.5164,2.5782,2.5473,11:59:59
SGD/SEK,SGD,SEK,1,7.20570,7.28920,SGD,Singapore dollar,7.20570,7.28920,7.24745,11:59:59
THB/SEK,THB,SEK,1,0.277920,0.291130,THB,Thailändska baht,0.277920,0.291130,0.284525,11:59:59
TRY/SEK,TRY,SEK,1,0.183770,0.219880,TRY,Turkiska lira,0.183770,0.219880,0.201825,11:59:59
USD/SEK,USD,SEK,1,9.19350,9.32720,USD,Amerikanska dollar,9.19350,9.32720,9.26035,11:59:59
ZAR/SEK,ZAR,SEK,1,0.56064,0.58116,ZAR,Sydafrikanska rand,0.56064,0.58116,0.57090,11:59:59
