country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.7124,6.812,2026-07-20
Danmark,Dansk krona,DKK,1.4665,1.4882,2026-07-20
Euro,Euro,EUR,10.9632,11.125,2026-07-20
Hong Kong,Hongkong dollar,HKD,1.2168,1.2479,2026-07-20
Indien,Indisk rupie,INR,0.0976,0.1028,2026-07-20
Japan,Japanskt yen,JPY,0.0591,0.0599,2026-07-20
Kanada,Kanadensisk dollar,CAD,6.8361,6.9374,2026-07-20
Kina,Kinesisk yuan,CNY,1.4081,1.4472,2026-07-20
Mexiko,Mexikansk peso,MXN,0.5454,0.5594,2026-07-20
Norge,Norsk krona,NOK,0.9932,1.0082,2026-07-20
Nya Zeeland,Nyzeeländsk dollar,NZD,5.6098,5.6937,2026-07-20
Polen,Polsk zloty,PLN,2.5268,2.5649,2026-07-20
Schweiz,Schweizisk franc,CHF,11.8687,12.0443,2026-07-20
Singapore,Singaporiansk dollar,SGD,7.4295,7.54,2026-07-20
Storbritannien,Brittiskt pund,GBP,12.9121,13.1035,2026-07-20
Sydafrika,Sydafrikansk rand,ZAR,0.5791,0.594,2026-07-20
Thailand,Thailänsk bath,THB,0.2835,0.2912,2026-07-20
Tjeckien,Tjeckisk krona,CZK,0.453,0.4599,2026-07-20
Turkiet,Turkisk lira,TRY,0.2019,0.2073,2026-07-20
Ungern,Ungersk forint,HUF,0.0301,0.0309,2026-07-20
USA,Amerikansk dollar,USD,9.5913,9.7331,2026-07-20
