pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.6097,2.6814,2.6814,2.6097,2026-07-22T08:36:56.742232Z,2026-07-22T08:36:56.742232Z
AUD/SEK,AUD,SEK,1,6.7329,6.8663,6.8663,6.7329,2026-07-22T08:36:56.736845Z,2026-07-22T08:36:56.736845Z
BDT/SEK,BDT,SEK,1,0.076109,0.081343,0.081343,0.076109,2026-07-22T08:36:56.736486Z,2026-07-22T08:36:56.736486Z
BHD/SEK,BHD,SEK,1,25.4143,26.1193,26.1193,25.4143,2026-07-22T08:36:56.749964Z,2026-07-22T08:36:56.749964Z
CAD/SEK,CAD,SEK,1,6.8274,6.9626,6.9626,6.8274,2026-07-22T08:36:56.742599Z,2026-07-22T08:36:56.742599Z
CHF/SEK,CHF,SEK,1,11.8538,12.0887,12.0887,11.8538,2026-07-22T08:36:56.741576Z,2026-07-22T08:36:56.741576Z
CNH/SEK,CNH,SEK,1,1.4151,1.454,1.454,1.4151,2026-07-22T08:36:56.758983Z,2026-07-22T08:36:56.758983Z
CNY/SEK,CNY,SEK,1,1.40499,1.46342,1.46342,1.40499,2026-07-22T08:36:56.744743Z,2026-07-22T08:36:56.744743Z
CZK/SEK,CZK,SEK,1,0.45405,0.46322,0.46322,0.45405,2026-07-22T08:36:56.736827Z,2026-07-22T08:36:56.736827Z
DKK/SEK,DKK,SEK,1,1.46863,1.49776,1.49776,1.46863,2026-07-22T08:36:56.742556Z,2026-07-22T08:36:56.742556Z
EGP/SEK,EGP,SEK,1,0.1834,0.1951,0.1951,0.1834,2026-07-22T08:36:56.736878Z,2026-07-22T08:36:56.736878Z
EUR/SEK,EUR,SEK,1,10.9772,11.1948,11.1948,10.9772,2026-07-22T08:09:53.237664Z,2026-07-22T08:09:53.237664Z
GBP/SEK,GBP,SEK,1,12.8736,13.1285,13.1285,12.8736,2026-07-22T08:36:56.742190Z,2026-07-22T08:36:56.742190Z
GIP/SEK,GIP,SEK,1,12.865891,13.135682,13.135682,12.865891,2026-07-22T08:36:56.751891Z,2026-07-22T08:36:56.751891Z
HKD/SEK,HKD,SEK,1,1.22252,1.25608,1.25608,1.22252,2026-07-22T08:36:56.736329Z,2026-07-22T08:36:56.736329Z
HUF/SEK,HUF,SEK,1,0.030191,0.030804,0.030804,0.030191,2026-07-22T08:36:56.739895Z,2026-07-22T08:36:56.739895Z
IDR/SEK,IDR,SEK,1,0.0005324,0.0005545,0.0005545,0.0005324,2026-07-22T08:36:56.749644Z,2026-07-22T08:36:56.749644Z
