pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.67710,6.76540,AUD,Australiensiska dollar,6.67710,6.76540,6.72125,11:59:59
BRL/SEK,BRL,SEK,1,1.8290,1.9298,BRL,Brasilianska real,1.8290,1.9298,1.8794,11:59:59
CAD/SEK,CAD,SEK,1,6.76970,6.85760,CAD,Kanadensiska dollar,6.76970,6.85760,6.81365,11:59:59
CHF/SEK,CHF,SEK,1,11.7374,11.8752,CHF,Schweiziska franc,11.7374,11.8752,11.8063,11:59:59
CNY/SEK,CNY,SEK,1,1.40090,1.43160,CNY,Kinesiska yuan,1.40090,1.43160,1.41625,11:59:59
CZK/SEK,CZK,SEK,1,0.450170,0.459480,CZK,Tjeckiska koruna,0.450170,0.459480,0.454825,11:59:59
DKK/SEK,DKK,SEK,1,1.4642,1.4808,DKK,Danska kronor,1.4642,1.4808,1.4725,11:59:59
EUR/SEK,EUR,SEK,1,10.9404,11.0740,EUR,Euro,10.9404,11.0740,11.0072,11:59:59
GBP/SEK,GBP,SEK,1,12.7839,12.9297,GBP,Pound sterling,12.7839,12.9297,12.8568,11:59:59
HKD/SEK,HKD,SEK,1,1.2073,1.2319,HKD,Hong Kong dollar,1.2073,1.2319,1.2196,11:59:59
HUF/SEK,HUF,SEK,1,0.0297380,0.0307670,HUF,Ungerska forint,0.0297380,0.0307670,0.0302525,11:59:59
ILS/SEK,ILS,SEK,1,3.0677,3.2261,ILS,Israelska new shekel,3.0677,3.2261,3.1469,11:59:59
INR/SEK,INR,SEK,1,0.096960,0.103610,INR,Indiska rupees,0.096960,0.103610,0.100285,11:59:59
JPY/SEK,JPY,SEK,1,0.0600570,0.0610840,JPY,Japanska yen,0.0600570,0.0610840,0.0605705,11:59:59
NOK/SEK,NOK,SEK,1,0.99820,1.01290,NOK,Norska kronor,0.99820,1.01290,1.00555,11:59:59
NZD/SEK,NZD,SEK,1,5.5726,5.6616,NZD,Nya Zeeländska dollar,5.5726,5.6616,5.6171,11:59:59
PLN/SEK,PLN,SEK,1,2.52180,2.58350,PLN,Polska zloty,2.52180,2.58350,2.55265,11:59:59
SGD/SEK,SGD,SEK,1,7.41020,7.49350,SGD,Singapore dollar,7.41020,7.49350,7.45185,11:59:59
THB/SEK,THB,SEK,1,0.27960,0.29278,THB,Thailändska baht,0.27960,0.29278,0.28619,11:59:59
TRY/SEK,TRY,SEK,1,0.18307,0.21917,TRY,Turkiska lira,0.18307,0.21917,0.20112,11:59:59
USD/SEK,USD,SEK,1,9.4982,9.6316,USD,Amerikanska dollar,9.4982,9.6316,9.5649,11:59:59
ZAR/SEK,ZAR,SEK,1,0.569260,0.589650,ZAR,Sydafrikanska rand,0.569260,0.589650,0.579455,11:59:59
