country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.7195,6.8211,2026-07-27
Danmark,Dansk krona,DKK,1.4643,1.4863,2026-07-27
Euro,Euro,EUR,10.9466,11.1111,2026-07-27
Hong Kong,Hongkong dollar,HKD,1.2172,1.2486,2026-07-27
Indien,Indisk rupie,INR,0.0979,0.1031,2026-07-27
Japan,Japanskt yen,JPY,0.0587,0.0595,2026-07-27
Kanada,Kanadensisk dollar,CAD,6.8131,6.9161,2026-07-27
Kina,Kinesisk yuan,CNY,1.4092,1.448,2026-07-27
Mexiko,Mexikansk peso,MXN,0.5476,0.5618,2026-07-27
Norge,Norsk krona,NOK,1.002,1.0175,2026-07-27
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5659,5.6505,2026-07-27
Polen,Polsk zloty,PLN,2.5375,2.5765,2026-07-27
Schweiz,Schweizisk franc,CHF,11.7725,11.95,2026-07-27
Singapore,Singaporiansk dollar,SGD,7.4412,7.5536,2026-07-27
Storbritannien,Brittiskt pund,GBP,12.8146,13.0081,2026-07-27
Sydafrika,Sydafrikansk rand,ZAR,0.5715,0.5864,2026-07-27
Thailand,Thailänsk bath,THB,0.2845,0.2923,2026-07-27
Tjeckien,Tjeckisk krona,CZK,0.4536,0.4607,2026-07-27
Turkiet,Turkisk lira,TRY,0.2015,0.2089,2026-07-27
Ungern,Ungersk forint,HUF,0.0303,0.031,2026-07-27
USA,Amerikansk dollar,USD,9.5975,9.7421,2026-07-27
