country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6549,6.7535,2026-07-07
Danmark,Dansk krona,DKK,1.4651,1.4868,2026-07-07
Euro,Euro,EUR,10.9515,11.1131,2026-07-07
Hong Kong,Hongkong dollar,HKD,1.2157,1.2468,2026-07-07
Indien,Indisk rupie,INR,0.0991,0.1043,2026-07-07
Japan,Japanskt yen,JPY,0.0592,0.0601,2026-07-07
Kanada,Kanadensisk dollar,CAD,6.7433,6.8433,2026-07-07
Kina,Kinesisk yuan,CNY,1.4021,1.4404,2026-07-07
Mexiko,Mexikansk peso,MXN,0.5474,0.5615,2026-07-07
Norge,Norsk krona,NOK,0.9782,0.9928,2026-07-07
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4533,5.5348,2026-07-07
Polen,Polsk zloty,PLN,2.55,2.5884,2026-07-07
Schweiz,Schweizisk franc,CHF,11.8763,12.052,2026-07-07
Singapore,Singaporiansk dollar,SGD,7.4181,7.5284,2026-07-07
Storbritannien,Brittiskt pund,GBP,12.8248,13.0149,2026-07-07
Sydafrika,Sydafrikansk rand,ZAR,0.5869,0.602,2026-07-07
Thailand,Thailänsk bath,THB,0.2862,0.2939,2026-07-07
Tjeckien,Tjeckisk krona,CZK,0.4518,0.4587,2026-07-07
Turkiet,Turkisk lira,TRY,0.2033,0.2087,2026-07-07
Ungern,Ungersk forint,HUF,0.0307,0.0315,2026-07-07
USA,Amerikansk dollar,USD,9.5852,9.727,2026-07-07
