country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.5971,6.6772,6.5971,6.6772,1/6
Danmark,DKK/SEK,DKK,SEK,1,1.43395,1.44995,1.43395,1.44995,1/6
Euro,EUR/SEK,EUR,SEK,1,10.7063,10.8463,10.7063,10.8463,1/6
Hongkong,HKD/SEK,HKD,SEK,1,1.1664,1.1926,1.1664,1.1926,1/6
Indien,INR/SEK,INR,SEK,1,0.094242,0.100442,0.094242,0.100442,1/6
Indonesien,IDR/SEK,IDR,SEK,1,0.000506,0.000539,0.000506,0.000539,1/6
Island,ISK/SEK,ISK,SEK,1,0.074977,0.075317,0.074977,0.075317,1/6
Japan,JPY/SEK,JPY,SEK,1,0.057504,0.058444,0.057504,0.058444,1/6
Kanada,CAD/SEK,CAD,SEK,1,6.6478,6.7338,6.6478,6.7338,1/6
Kina,CNY/SEK,CNY,SEK,1,1.3563,1.3764,1.3563,1.3764,1/6
Kroatien,HRK/SEK,HRK,SEK,1,1.420271,1.440271,1.420271,1.440271,11/12
Malaysia,MYR/SEK,MYR,SEK,1,2.316451,2.346451,2.316451,2.346451,1/6
Marocko,MAD/SEK,MAD,SEK,1,0.9894,1.0241,0.9894,1.0241,1/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5267,0.5408,0.5267,0.5408,1/6
Norge,NOK/SEK,NOK,SEK,1,0.99328,1.00628,0.99328,1.00628,1/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4754,5.5574,5.4754,5.5574,1/6
Polen,PLN/SEK,PLN,SEK,1,2.5258,2.5658,2.5258,2.5658,1/6
Ryssland,RUB/SEK,RUB,SEK,1,0.12656,0.13094,0.12656,0.13094,1/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.4311,2.4953,2.4311,2.4953,1/6
Schweiz,CHF/SEK,CHF,SEK,1,11.7462,11.8582,11.7462,11.8582,1/6
Singapore,SGD/SEK,SGD,SEK,1,7.2007,7.2722,7.2007,7.2722,1/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.3793,12.5194,12.3793,12.5194,1/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.56,0.5781,0.56,0.5781,1/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006021,0.006193,0.006021,0.006193,1/6
Thailand,THB/SEK,THB,SEK,1,0.2808,0.2867,0.2808,0.2867,1/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.44038,0.44698,0.44038,0.44698,1/6
Turkiet,TRY/SEK,TRY,SEK,1,0.1668,0.2356,0.1668,0.2356,1/6
Ungern,HUF/SEK,HUF,SEK,1,0.030078,0.030839,0.030078,0.030839,1/6
USA,USD/SEK,USD,SEK,1,9.1767,9.3117,9.1767,9.3117,1/6
