pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.60350,6.69180,AUD,Australiensiska dollar,6.60350,6.69180,6.64765,11:59:57
BRL/SEK,BRL,SEK,1,1.7831,1.8839,BRL,Brasilianska real,1.7831,1.8839,1.8335,11:59:57
CAD/SEK,CAD,SEK,1,6.7647,6.8527,CAD,Kanadensiska dollar,6.7647,6.8527,6.8087,11:59:57
CHF/SEK,CHF,SEK,1,11.8068,11.9434,CHF,Schweiziska franc,11.8068,11.9434,11.8751,11:59:57
CNY/SEK,CNY,SEK,1,1.38350,1.41420,CNY,Kinesiska yuan,1.38350,1.41420,1.39885,11:59:57
CZK/SEK,CZK,SEK,1,0.44864,0.45794,CZK,Tjeckiska koruna,0.44864,0.45794,0.45329,11:59:58
DKK/SEK,DKK,SEK,1,1.4580,1.4746,DKK,Danska kronor,1.4580,1.4746,1.4663,11:59:57
EUR/SEK,EUR,SEK,1,10.8929,11.0265,EUR,Euro,10.8929,11.0265,10.9597,11:59:57
GBP/SEK,GBP,SEK,1,12.63090,12.77660,GBP,Pound sterling,12.63090,12.77660,12.70375,11:59:57
HKD/SEK,HKD,SEK,1,1.1977,1.2223,HKD,Hong Kong dollar,1.1977,1.2223,1.2100,11:59:57
HUF/SEK,HUF,SEK,1,0.030304,0.031334,HUF,Ungerska forint,0.030304,0.031334,0.030819,11:59:57
ILS/SEK,ILS,SEK,1,3.11200,3.27050,ILS,Israelska new shekel,3.11200,3.27050,3.19125,11:59:59
INR/SEK,INR,SEK,1,0.096214,0.102860,INR,Indiska rupees,0.096214,0.102860,0.099537,11:59:57
JPY/SEK,JPY,SEK,1,0.058588,0.059614,JPY,Japanska yen,0.058588,0.059614,0.059101,11:59:59
NOK/SEK,NOK,SEK,1,0.99190,1.00660,NOK,Norska kronor,0.99190,1.00660,0.99925,11:59:59
NZD/SEK,NZD,SEK,1,5.46950,5.55760,NZD,Nya Zeeländska dollar,5.46950,5.55760,5.51355,11:59:57
PLN/SEK,PLN,SEK,1,2.54970,2.61140,PLN,Polska zloty,2.54970,2.61140,2.58055,11:59:57
SGD/SEK,SGD,SEK,1,7.32440,7.40770,SGD,Singapore dollar,7.32440,7.40770,7.36605,11:59:57
THB/SEK,THB,SEK,1,0.281790,0.295020,THB,Thailändska baht,0.281790,0.295020,0.288405,11:59:57
TRY/SEK,TRY,SEK,1,0.18747,0.22357,TRY,Turkiska lira,0.18747,0.22357,0.20552,11:59:57
USD/SEK,USD,SEK,1,9.4157,9.5491,USD,Amerikanska dollar,9.4157,9.5491,9.4824,11:59:57
ZAR/SEK,ZAR,SEK,1,0.56277,0.58315,ZAR,Sydafrikanska rand,0.56277,0.58315,0.57296,11:59:57
