pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.66480,6.75310,AUD,Australiensiska dollar,6.66480,6.75310,6.70895,11:59:58
BRL/SEK,BRL,SEK,1,1.8300,1.9308,BRL,Brasilianska real,1.8300,1.9308,1.8804,11:59:58
CAD/SEK,CAD,SEK,1,6.8095,6.8975,CAD,Kanadensiska dollar,6.8095,6.8975,6.8535,11:59:58
CHF/SEK,CHF,SEK,1,11.95670,12.09460,CHF,Schweiziska franc,11.95670,12.09460,12.02565,11:59:58
CNY/SEK,CNY,SEK,1,1.4159,1.4467,CNY,Kinesiska yuan,1.4159,1.4467,1.4313,11:59:58
CZK/SEK,CZK,SEK,1,0.452300,0.461610,CZK,Tjeckiska koruna,0.452300,0.461610,0.456955,11:59:58
DKK/SEK,DKK,SEK,1,1.4753,1.4919,DKK,Danska kronor,1.4753,1.4919,1.4836,11:59:58
EUR/SEK,EUR,SEK,1,11.0226,11.1562,EUR,Euro,11.0226,11.1562,11.0894,11:59:58
GBP/SEK,GBP,SEK,1,12.7814,12.9272,GBP,Pound sterling,12.7814,12.9272,12.8543,11:59:58
HKD/SEK,HKD,SEK,1,1.22770,1.25220,HKD,Hong Kong dollar,1.22770,1.25220,1.23995,11:59:58
HUF/SEK,HUF,SEK,1,0.030770,0.031800,HUF,Ungerska forint,0.030770,0.031800,0.031285,11:59:59
ILS/SEK,ILS,SEK,1,3.17360,3.33210,ILS,Israelska new shekel,3.17360,3.33210,3.25285,11:59:58
INR/SEK,INR,SEK,1,0.099550,0.106200,INR,Indiska rupees,0.099550,0.106200,0.102875,11:59:58
JPY/SEK,JPY,SEK,1,0.059556,0.060586,JPY,Japanska yen,0.059556,0.060586,0.060071,11:59:59
NOK/SEK,NOK,SEK,1,0.97210,0.98680,NOK,Norska kronor,0.97210,0.98680,0.97945,11:59:59
NZD/SEK,NZD,SEK,1,5.4512,5.5394,NZD,Nya Zeeländska dollar,5.4512,5.5394,5.4953,11:59:58
PLN/SEK,PLN,SEK,1,2.55410,2.61600,PLN,Polska zloty,2.55410,2.61600,2.58505,11:59:59
SGD/SEK,SGD,SEK,1,7.47580,7.55910,SGD,Singapore dollar,7.47580,7.55910,7.51745,11:59:58
THB/SEK,THB,SEK,1,0.285580,0.298790,THB,Thailändska baht,0.285580,0.298790,0.292185,11:59:58
TRY/SEK,TRY,SEK,1,0.190440,0.226550,TRY,Turkiska lira,0.190440,0.226550,0.208495,11:59:58
USD/SEK,USD,SEK,1,9.6580,9.7914,USD,Amerikanska dollar,9.6580,9.7914,9.7247,11:59:58
ZAR/SEK,ZAR,SEK,1,0.581170,0.601560,ZAR,Sydafrikanska rand,0.581170,0.601560,0.591365,11:59:58
