pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0341,11.0366,11.0354,926,EUR/SEK Spot,11.0354,11.0341,11.0366
USD/SEK,USD,SEK,1,9.6265,9.6291,9.6278,150,USD/SEK Spot,9.6278,9.6265,9.6291
GBP/SEK,GBP,SEK,1,12.875,12.885,12.88,72825,GBP/SEK Spot,12.88,12.875,12.885
JPY/SEK,JPY,SEK,1,5.886,5.896,5.891,117083,JPY/SEK Spot,5.891,5.886,5.896
CHF/SEK,CHF,SEK,1,11.8155,11.8255,11.8205,72829,CHF/SEK Spot,11.8205,11.8155,11.8255
NOK/SEK,NOK,SEK,1,1.0043,1.0053,1.0048,72828,NOK/SEK Spot,1.0048,1.0043,1.0053
DKK/SEK,DKK,SEK,1,1.4757,1.4767,1.4762,72826,DKK/SEK Spot,1.4762,1.4757,1.4767
CAD/SEK,CAD,SEK,1,6.8458,6.8558,6.8508,51623,CAD/SEK Spot,6.8508,6.8458,6.8558
AUD/SEK,AUD,SEK,1,6.7103,6.7113,6.7108,117438,AUD/SEK Spot,6.7108,6.7103,6.7113
NZD/SEK,NZD,SEK,1,5.6122,5.6132,5.6127,117521,NZD/SEK Spot,5.6127,5.6122,5.6132
