country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6463,6.7448,2026-07-10
Danmark,Dansk krona,DKK,1.4628,1.4844,2026-07-10
Euro,Euro,EUR,10.9348,11.0962,2026-07-10
Hong Kong,Hongkong dollar,HKD,1.2141,1.2452,2026-07-10
Indien,Indisk rupie,INR,0.0985,0.1037,2026-07-10
Japan,Japanskt yen,JPY,0.0591,0.06,2026-07-10
Kanada,Kanadensisk dollar,CAD,6.7531,6.8532,2026-07-10
Kina,Kinesisk yuan,CNY,1.4027,1.4414,2026-07-10
Mexiko,Mexikansk peso,MXN,0.5431,0.5572,2026-07-10
Norge,Norsk krona,NOK,0.9812,0.996,2026-07-10
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5209,5.6034,2026-07-10
Polen,Polsk zloty,PLN,2.5146,2.5525,2026-07-10
Schweiz,Schweizisk franc,CHF,11.8579,12.0333,2026-07-10
Singapore,Singaporiansk dollar,SGD,7.4099,7.5199,2026-07-10
Storbritannien,Brittiskt pund,GBP,12.8305,13.0209,2026-07-10
Sydafrika,Sydafrikansk rand,ZAR,0.5842,0.5992,2026-07-10
Thailand,Thailänsk bath,THB,0.2855,0.2932,2026-07-10
Tjeckien,Tjeckisk krona,CZK,0.4507,0.4575,2026-07-10
Turkiet,Turkisk lira,TRY,0.2023,0.2077,2026-07-10
Ungern,Ungersk forint,HUF,0.0305,0.0313,2026-07-10
USA,Amerikansk dollar,USD,9.5672,9.7087,2026-07-10
