pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8216,10.8254,10.8235,926,EUR/SEK Spot,10.8235,10.8216,10.8254
USD/SEK,USD,SEK,1,9.293,9.2972,9.2951,150,USD/SEK Spot,9.2951,9.293,9.2972
GBP/SEK,GBP,SEK,1,12.5104,12.5204,12.5154,72825,GBP/SEK Spot,12.5154,12.5104,12.5204
JPY/SEK,JPY,SEK,1,5.814,5.824,5.819,117083,JPY/SEK Spot,5.819,5.814,5.824
CHF/SEK,CHF,SEK,1,11.8219,11.8319,11.8269,72829,CHF/SEK Spot,11.8269,11.8219,11.8319
NOK/SEK,NOK,SEK,1,1.0012,1.0022,1.0017,72828,NOK/SEK Spot,1.0017,1.0012,1.0022
DKK/SEK,DKK,SEK,1,1.4477,1.4487,1.4482,72826,DKK/SEK Spot,1.4482,1.4477,1.4487
CAD/SEK,CAD,SEK,1,6.708,6.718,6.713,51623,CAD/SEK Spot,6.713,6.708,6.718
AUD/SEK,AUD,SEK,1,6.6747,6.6757,6.6752,117438,AUD/SEK Spot,6.6752,6.6747,6.6757
NZD/SEK,NZD,SEK,1,5.513,5.514,5.5135,117521,NZD/SEK Spot,5.5135,5.513,5.514
