country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.7526,6.8326,6.7526,6.8326,23/7
Danmark,DKK/SEK,DKK,SEK,1,1.474445,1.490445,1.474445,1.490445,23/7
Euro,EUR/SEK,EUR,SEK,1,11.01205,11.15205,11.01205,11.15205,23/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2248,1.251,1.2248,1.251,23/7
Indien,INR/SEK,INR,SEK,1,0.09744,0.103641,0.09744,0.103641,23/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000528,0.000561,0.000528,0.000561,23/7
Island,ISK/SEK,ISK,SEK,1,0.07711,0.07745,0.07711,0.07745,23/7
Japan,JPY/SEK,JPY,SEK,1,0.058937,0.059878,0.058937,0.059878,23/7
Kanada,CAD/SEK,CAD,SEK,1,6.8529,6.9389,6.8529,6.9389,23/7
Kina,CNY/SEK,CNY,SEK,1,1.4235,1.4435,1.4235,1.4435,23/7
Malaysia,MYR/SEK,MYR,SEK,1,2.359497,2.389498,2.359497,2.389498,23/7
Marocko,MAD/SEK,MAD,SEK,1,1.0171,1.0517,1.0171,1.0517,23/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5497,0.5637,0.5497,0.5637,23/7
Norge,NOK/SEK,NOK,SEK,1,1.004015,1.017015,1.004015,1.017015,23/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.588,5.67,5.588,5.67,23/7
Polen,PLN/SEK,PLN,SEK,1,2.5392,2.5792,2.5392,2.5792,23/7
Ryssland,RUB/SEK,RUB,SEK,1,0.12113,0.12551,0.12113,0.12551,23/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5536,2.6178,2.5536,2.6178,23/7
Schweiz,CHF/SEK,CHF,SEK,1,11.84995,11.96195,11.84995,11.96195,23/7
Singapore,SGD/SEK,SGD,SEK,1,7.4865,7.5579,7.4865,7.5579,23/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.9059,13.046,12.9059,13.046,23/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5817,0.5998,0.5817,0.5998,23/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006468,0.006641,0.006468,0.006641,23/7
Thailand,THB/SEK,THB,SEK,1,0.284,0.2899,0.284,0.2899,23/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.45459,0.46119,0.45459,0.46119,23/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1706,0.2394,0.1706,0.2394,23/7
Ungern,HUF/SEK,HUF,SEK,1,0.030006,0.030768,0.030006,0.030768,23/7
USA,USD/SEK,USD,SEK,1,9.6388,9.7739,9.6388,9.7739,23/7
