pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.64970,6.73800,AUD,Australiensiska dollar,6.64970,6.73800,6.69385,11:59:59
BRL/SEK,BRL,SEK,1,1.8030,1.9038,BRL,Brasilianska real,1.8030,1.9038,1.8534,11:59:59
CAD/SEK,CAD,SEK,1,6.7584,6.8466,CAD,Kanadensiska dollar,6.7584,6.8466,6.8025,11:59:59
CHF/SEK,CHF,SEK,1,11.9444,12.0810,CHF,Schweiziska franc,11.9444,12.0810,12.0127,11:59:58
CNY/SEK,CNY,SEK,1,1.4072,1.4380,CNY,Kinesiska yuan,1.4072,1.4380,1.4226,11:59:59
CZK/SEK,CZK,SEK,1,0.451630,0.460940,CZK,Tjeckiska koruna,0.451630,0.460940,0.456285,11:59:57
DKK/SEK,DKK,SEK,1,1.4688,1.4854,DKK,Danska kronor,1.4688,1.4854,1.4771,11:59:58
EUR/SEK,EUR,SEK,1,10.9734,11.1070,EUR,Euro,10.9734,11.1070,11.0402,11:59:57
GBP/SEK,GBP,SEK,1,12.8105,12.9563,GBP,Pound sterling,12.8105,12.9563,12.8834,11:59:59
HKD/SEK,HKD,SEK,1,1.21820,1.24270,HKD,Hong Kong dollar,1.21820,1.24270,1.23045,11:59:59
HUF/SEK,HUF,SEK,1,0.0307390,0.0317680,HUF,Ungerska forint,0.0307390,0.0317680,0.0312535,11:59:57
ILS/SEK,ILS,SEK,1,3.14060,3.29910,ILS,Israelska new shekel,3.14060,3.29910,3.21985,11:59:59
INR/SEK,INR,SEK,1,0.098000,0.104650,INR,Indiska rupees,0.098000,0.104650,0.101325,11:59:59
JPY/SEK,JPY,SEK,1,0.0593720,0.0604050,JPY,Japanska yen,0.0593720,0.0604050,0.0598885,11:59:58
NOK/SEK,NOK,SEK,1,0.97470,0.98940,NOK,Norska kronor,0.97470,0.98940,0.98205,11:59:59
NZD/SEK,NZD,SEK,1,5.4684,5.5566,NZD,Nya Zeeländska dollar,5.4684,5.5566,5.5125,11:59:59
PLN/SEK,PLN,SEK,1,2.54480,2.60650,PLN,Polska zloty,2.54480,2.60650,2.57565,11:59:57
SGD/SEK,SGD,SEK,1,7.4337,7.5169,SGD,Singapore dollar,7.4337,7.5169,7.4753,11:59:59
THB/SEK,THB,SEK,1,0.284620,0.297870,THB,Thailändska baht,0.284620,0.297870,0.291245,11:59:59
TRY/SEK,TRY,SEK,1,0.18812,0.22422,TRY,Turkiska lira,0.18812,0.22422,0.20617,11:59:59
USD/SEK,USD,SEK,1,9.58310,9.71640,USD,Amerikanska dollar,9.58310,9.71640,9.64975,11:59:59
ZAR/SEK,ZAR,SEK,1,0.58454,0.60496,ZAR,Sydafrikanska rand,0.58454,0.60496,0.59475,11:59:59
