pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.8712,10.8744,10.8728,926,EUR/SEK Spot,10.8728,10.8712,10.8744
USD/SEK,USD,SEK,1,9.4209,9.4233,9.4221,150,USD/SEK Spot,9.4221,9.4209,9.4233
GBP/SEK,GBP,SEK,1,12.5899,12.5999,12.5949,72825,GBP/SEK Spot,12.5949,12.5899,12.5999
JPY/SEK,JPY,SEK,1,5.888,5.898,5.893,117083,JPY/SEK Spot,5.893,5.888,5.898
CHF/SEK,CHF,SEK,1,11.8295,11.8395,11.8345,72829,CHF/SEK Spot,11.8345,11.8295,11.8395
NOK/SEK,NOK,SEK,1,0.9952,0.9962,0.9957,72828,NOK/SEK Spot,0.9957,0.9952,0.9962
DKK/SEK,DKK,SEK,1,1.4547,1.4557,1.4552,72826,DKK/SEK Spot,1.4552,1.4547,1.4557
CAD/SEK,CAD,SEK,1,6.7584,6.7684,6.7634,51623,CAD/SEK Spot,6.7634,6.7584,6.7684
AUD/SEK,AUD,SEK,1,6.6641,6.6651,6.6646,117438,AUD/SEK Spot,6.6646,6.6641,6.6651
NZD/SEK,NZD,SEK,1,5.4925,5.4935,5.493,117521,NZD/SEK Spot,5.493,5.4925,5.4935
