pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0363,11.0389,11.0376,926,EUR/SEK Spot,11.0376,11.0363,11.0389
USD/SEK,USD,SEK,1,9.6835,9.6859,9.6847,150,USD/SEK Spot,9.6847,9.6835,9.6859
GBP/SEK,GBP,SEK,1,12.9031,12.9131,12.9081,72825,GBP/SEK Spot,12.9081,12.9031,12.9131
JPY/SEK,JPY,SEK,1,5.916,5.926,5.921,117083,JPY/SEK Spot,5.921,5.916,5.926
CHF/SEK,CHF,SEK,1,11.881,11.891,11.886,72829,CHF/SEK Spot,11.886,11.881,11.891
NOK/SEK,NOK,SEK,1,1.0034,1.0044,1.0039,72828,NOK/SEK Spot,1.0039,1.0034,1.0044
DKK/SEK,DKK,SEK,1,1.476,1.477,1.4765,72826,DKK/SEK Spot,1.4765,1.476,1.477
CAD/SEK,CAD,SEK,1,6.8605,6.8705,6.8655,51623,CAD/SEK Spot,6.8655,6.8605,6.8705
AUD/SEK,AUD,SEK,1,6.7813,6.7823,6.7818,117438,AUD/SEK Spot,6.7818,6.7813,6.7823
NZD/SEK,NZD,SEK,1,5.6138,5.6148,5.6143,117521,NZD/SEK Spot,5.6143,5.6138,5.6148
