country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6148,6.6948,6.6148,6.6948,10/6
Danmark,DKK/SEK,DKK,SEK,1,1.45812,1.47412,1.45812,1.47412,10/6
Euro,EUR/SEK,EUR,SEK,1,10.8883,11.0283,10.8883,11.0283,10/6
Hongkong,HKD/SEK,HKD,SEK,1,1.1974,1.2236,1.1974,1.2236,10/6
Indien,INR/SEK,INR,SEK,1,0.096509,0.10271,0.096509,0.10271,10/6
Indonesien,IDR/SEK,IDR,SEK,1,0.000516,0.000549,0.000516,0.000549,10/6
Island,ISK/SEK,ISK,SEK,1,0.076248,0.076588,0.076248,0.076588,10/6
Japan,JPY/SEK,JPY,SEK,1,0.058672,0.059612,0.058672,0.059612,10/6
Kanada,CAD/SEK,CAD,SEK,1,6.7652,6.8512,6.7652,6.8512,10/6
Kina,CNY/SEK,CNY,SEK,1,1.3897,1.4097,1.3897,1.4097,10/6
Kroatien,HRK/SEK,HRK,SEK,1,1.444416,1.464416,1.444416,1.464416,11/12
Malaysia,MYR/SEK,MYR,SEK,1,2.31899,2.34899,2.31899,2.34899,10/6
Marocko,MAD/SEK,MAD,SEK,1,1.0061,1.0407,1.0061,1.0407,10/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5372,0.5513,0.5372,0.5513,10/6
Norge,NOK/SEK,NOK,SEK,1,0.990495,1.003495,0.990495,1.003495,10/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4698,5.5518,5.4698,5.5518,10/6
Polen,PLN/SEK,PLN,SEK,1,2.5605,2.6006,2.5605,2.6006,10/6
Ryssland,RUB/SEK,RUB,SEK,1,0.12873,0.13311,0.12873,0.13311,10/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.4942,2.5584,2.4942,2.5584,10/6
Schweiz,CHF/SEK,CHF,SEK,1,11.8243,11.9363,11.8243,11.9363,10/6
Singapore,SGD/SEK,SGD,SEK,1,7.3313,7.4028,7.3313,7.4028,10/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.6299,12.77,12.6299,12.77,10/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5649,0.583,0.5649,0.583,10/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006107,0.006279,0.006107,0.006279,10/6
Thailand,THB/SEK,THB,SEK,1,0.2856,0.2914,0.2856,0.2914,10/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.450075,0.456675,0.450075,0.456675,10/6
Turkiet,TRY/SEK,TRY,SEK,1,0.171,0.2399,0.171,0.2399,10/6
Ungern,HUF/SEK,HUF,SEK,1,0.030431,0.031192,0.030431,0.031192,10/6
USA,USD/SEK,USD,SEK,1,9.419,9.554,9.419,9.554,10/6
