pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9007,10.9057,10.9032,926,EUR/SEK Spot,10.9032,10.9007,10.9057
USD/SEK,USD,SEK,1,9.4601,9.4691,9.4646,150,USD/SEK Spot,9.4646,9.4601,9.4691
GBP/SEK,GBP,SEK,1,12.6226,12.6326,12.6276,72825,GBP/SEK Spot,12.6276,12.6226,12.6326
JPY/SEK,JPY,SEK,1,5.9,5.91,5.905,117083,JPY/SEK Spot,5.905,5.9,5.91
CHF/SEK,CHF,SEK,1,11.8832,11.8932,11.8882,72829,CHF/SEK Spot,11.8882,11.8832,11.8932
NOK/SEK,NOK,SEK,1,0.9997,1.0007,1.0002,72828,NOK/SEK Spot,1.0002,0.9997,1.0007
DKK/SEK,DKK,SEK,1,1.4586,1.4596,1.4591,72826,DKK/SEK Spot,1.4591,1.4586,1.4596
CAD/SEK,CAD,SEK,1,6.7859,6.7959,6.7909,51623,CAD/SEK Spot,6.7909,6.7859,6.7959
AUD/SEK,AUD,SEK,1,6.6682,6.6692,6.6687,117438,AUD/SEK Spot,6.6687,6.6682,6.6692
NZD/SEK,NZD,SEK,1,5.486,5.487,5.4865,117521,NZD/SEK Spot,5.4865,5.486,5.487
