pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9955,10.9985,10.997,926,EUR/SEK Spot,10.997,10.9955,10.9985
USD/SEK,USD,SEK,1,9.598,9.6015,9.5998,150,USD/SEK Spot,9.5998,9.598,9.6015
GBP/SEK,GBP,SEK,1,12.7243,12.7343,12.7293,72825,GBP/SEK Spot,12.7293,12.7243,12.7343
JPY/SEK,JPY,SEK,1,5.927,5.937,5.932,117083,JPY/SEK Spot,5.932,5.927,5.937
CHF/SEK,CHF,SEK,1,11.8686,11.8786,11.8736,72829,CHF/SEK Spot,11.8736,11.8686,11.8786
NOK/SEK,NOK,SEK,1,0.9915,0.9925,0.992,72828,NOK/SEK Spot,0.992,0.9915,0.9925
DKK/SEK,DKK,SEK,1,1.4705,1.4715,1.471,72826,DKK/SEK Spot,1.471,1.4705,1.4715
CAD/SEK,CAD,SEK,1,6.7728,6.7828,6.7778,51623,CAD/SEK Spot,6.7778,6.7728,6.7828
AUD/SEK,AUD,SEK,1,6.7258,6.7268,6.7263,117438,AUD/SEK Spot,6.7263,6.7258,6.7268
NZD/SEK,NZD,SEK,1,5.5002,5.5012,5.5007,117521,NZD/SEK Spot,5.5007,5.5002,5.5012
