pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0165,11.0193,11.0179,926,EUR/SEK Spot,11.0179,11.0165,11.0193
USD/SEK,USD,SEK,1,9.6082,9.6107,9.6095,150,USD/SEK Spot,9.6095,9.6082,9.6107
GBP/SEK,GBP,SEK,1,12.9836,12.9936,12.9886,72825,GBP/SEK Spot,12.9886,12.9836,12.9936
JPY/SEK,JPY,SEK,1,5.922,5.932,5.927,117083,JPY/SEK Spot,5.927,5.922,5.932
CHF/SEK,CHF,SEK,1,11.9008,11.9108,11.9058,72829,CHF/SEK Spot,11.9058,11.9008,11.9108
NOK/SEK,NOK,SEK,1,0.9929,0.9939,0.9934,72828,NOK/SEK Spot,0.9934,0.9929,0.9939
DKK/SEK,DKK,SEK,1,1.4734,1.4744,1.4739,72826,DKK/SEK Spot,1.4739,1.4734,1.4744
CAD/SEK,CAD,SEK,1,6.8378,6.8478,6.8428,51623,CAD/SEK Spot,6.8428,6.8378,6.8478
AUD/SEK,AUD,SEK,1,6.7287,6.7297,6.7292,117438,AUD/SEK Spot,6.7292,6.7287,6.7297
NZD/SEK,NZD,SEK,1,5.6254,5.6264,5.6259,117521,NZD/SEK Spot,5.6259,5.6254,5.6264
