pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,currency,name,buy_from_abroad,sell_to_abroad,mid_rate,date
AUD/SEK,AUD,SEK,1,6.66490,6.75320,AUD,Australiensiska dollar,6.66490,6.75320,6.70905,11:59:59
BRL/SEK,BRL,SEK,1,1.8291,1.9299,BRL,Brasilianska real,1.8291,1.9299,1.8795,11:59:59
CAD/SEK,CAD,SEK,1,6.8053,6.8933,CAD,Kanadensiska dollar,6.8053,6.8933,6.8493,11:59:59
CHF/SEK,CHF,SEK,1,11.75000,11.88650,CHF,Schweiziska franc,11.75000,11.88650,11.81825,11:59:59
CNY/SEK,CNY,SEK,1,1.4091,1.4397,CNY,Kinesiska yuan,1.4091,1.4397,1.4244,11:59:59
CZK/SEK,CZK,SEK,1,0.45167,0.46097,CZK,Tjeckiska koruna,0.45167,0.46097,0.45632,11:59:59
DKK/SEK,DKK,SEK,1,1.4675,1.4841,DKK,Danska kronor,1.4675,1.4841,1.4758,11:59:59
EUR/SEK,EUR,SEK,1,10.9643,11.0979,EUR,Euro,10.9643,11.0979,11.0311,11:59:59
GBP/SEK,GBP,SEK,1,12.80180,12.94750,GBP,Pound sterling,12.80180,12.94750,12.87465,11:59:59
HKD/SEK,HKD,SEK,1,1.2143,1.2389,HKD,Hong Kong dollar,1.2143,1.2389,1.2266,11:59:59
HUF/SEK,HUF,SEK,1,0.029917,0.030949,HUF,Ungerska forint,0.029917,0.030949,0.030433,11:59:59
ILS/SEK,ILS,SEK,1,3.04630,3.20460,ILS,Israelska new shekel,3.04630,3.20460,3.12545,11:59:59
INR/SEK,INR,SEK,1,0.097240,0.103890,INR,Indiska rupees,0.097240,0.103890,0.100565,11:59:59
JPY/SEK,JPY,SEK,1,0.0584040,0.0594310,JPY,Japanska yen,0.0584040,0.0594310,0.0589175,11:59:59
NOK/SEK,NOK,SEK,1,0.99790,1.01260,NOK,Norska kronor,0.99790,1.01260,1.00525,11:59:59
NZD/SEK,NZD,SEK,1,5.5695,5.6577,NZD,Nya Zeeländska dollar,5.5695,5.6577,5.6136,11:59:59
PLN/SEK,PLN,SEK,1,2.5290,2.5908,PLN,Polska zloty,2.5290,2.5908,2.5599,11:59:59
SGD/SEK,SGD,SEK,1,7.42050,7.50380,SGD,Singapore dollar,7.42050,7.50380,7.46215,11:59:59
THB/SEK,THB,SEK,1,0.279790,0.292980,THB,Thailändska baht,0.279790,0.292980,0.286385,11:59:59
TRY/SEK,TRY,SEK,1,0.184870,0.220980,TRY,Turkiska lira,0.184870,0.220980,0.202925,11:59:59
USD/SEK,USD,SEK,1,9.55510,9.68840,USD,Amerikanska dollar,9.55510,9.68840,9.62175,11:59:59
ZAR/SEK,ZAR,SEK,1,0.569540,0.589930,ZAR,Sydafrikanska rand,0.569540,0.589930,0.579735,11:59:59
