country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6413,6.7699,2026-07-31
Danmark,Dansk krona,DKK,1.4558,1.4839,2026-07-31
Euro,Euro,EUR,10.8822,11.0921,2026-07-31
Hong Kong,Hongkong dollar,HKD,1.1981,1.2342,2026-07-31
Indien,Indisk rupie,INR,0.0969,0.1025,2026-07-31
Japan,Japanskt yen,JPY,0.0589,0.06,2026-07-31
Kanada,Kanadensisk dollar,CAD,6.7412,6.8717,2026-07-31
Kina,Kinesisk yuan,CNY,1.3905,1.4352,2026-07-31
Mexiko,Mexikansk peso,MXN,0.5419,0.5585,2026-07-31
Norge,Norsk krona,NOK,0.9888,1.0126,2026-07-31
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5471,5.6549,2026-07-31
Polen,Polsk zloty,PLN,2.5257,2.5756,2026-07-31
Schweiz,Schweizisk franc,CHF,11.7192,11.9461,2026-07-31
Singapore,Singaporiansk dollar,SGD,7.3624,7.5054,2026-07-31
Storbritannien,Brittiskt pund,GBP,12.715,12.9615,2026-07-31
Sydafrika,Sydafrikansk rand,ZAR,0.5694,0.5867,2026-07-31
Thailand,Thailänsk bath,THB,0.2813,0.2901,2026-07-31
Tjeckien,Tjeckisk krona,CZK,0.4492,0.4581,2026-07-31
Turkiet,Turkisk lira,TRY,0.1967,0.2043,2026-07-31
Ungern,Ungersk forint,HUF,0.0298,0.0308,2026-07-31
USA,Amerikansk dollar,USD,9.4475,9.6298,2026-07-31
