country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6212,6.7013,6.6212,6.7013,11/6
Danmark,DKK/SEK,DKK,SEK,1,1.46209,1.47809,1.46209,1.47809,11/6
Euro,EUR/SEK,EUR,SEK,1,10.9177,11.0577,10.9177,11.0577,11/6
Hongkong,HKD/SEK,HKD,SEK,1,1.2019,1.2282,1.2019,1.2282,11/6
Indien,INR/SEK,INR,SEK,1,0.096405,0.102606,0.096405,0.102606,11/6
Indonesien,IDR/SEK,IDR,SEK,1,0.000516,0.000549,0.000516,0.000549,11/6
Island,ISK/SEK,ISK,SEK,1,0.076453,0.076793,0.076453,0.076793,11/6
Japan,JPY/SEK,JPY,SEK,1,0.058846,0.059787,0.058846,0.059787,11/6
Kanada,CAD/SEK,CAD,SEK,1,6.7739,6.86,6.7739,6.86,11/6
Kina,CNY/SEK,CNY,SEK,1,1.3947,1.4148,1.3947,1.4148,11/6
Malaysia,MYR/SEK,MYR,SEK,1,2.324239,2.354239,2.324239,2.354239,11/6
Marocko,MAD/SEK,MAD,SEK,1,1.01,1.0446,1.01,1.0446,11/6
Mexiko,MXN/SEK,MXN,SEK,1,0.5401,0.5542,0.5401,0.5542,11/6
Norge,NOK/SEK,NOK,SEK,1,0.999905,1.012905,0.999905,1.012905,11/6
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.469,5.5511,5.469,5.5511,11/6
Polen,PLN/SEK,PLN,SEK,1,2.5637,2.6038,2.5637,2.6038,11/6
Ryssland,RUB/SEK,RUB,SEK,1,0.12934,0.13372,0.12934,0.13372,11/6
Saudiarabien,SAR/SEK,SAR,SEK,1,2.504,2.5682,2.504,2.5682,11/6
Schweiz,CHF/SEK,CHF,SEK,1,11.8517,11.9637,11.8517,11.9637,11/6
Singapore,SGD/SEK,SGD,SEK,1,7.357,7.4284,7.357,7.4284,11/6
Storbritannien,GBP/SEK,GBP,SEK,1,12.6649,12.8049,12.6649,12.8049,11/6
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5663,0.5843,0.5663,0.5843,11/6
Sydkorea,KRW/SEK,KRW,SEK,1,0.006173,0.006346,0.006173,0.006346,11/6
Thailand,THB/SEK,THB,SEK,1,0.2862,0.2921,0.2862,0.2921,11/6
Tjeckien,CZK/SEK,CZK,SEK,1,0.45089,0.45749,0.45089,0.45749,11/6
Turkiet,TRY/SEK,TRY,SEK,1,0.1717,0.2405,0.1717,0.2405,11/6
Ungern,HUF/SEK,HUF,SEK,1,0.030515,0.031277,0.030515,0.031277,11/6
USA,USD/SEK,USD,SEK,1,9.4532,9.5882,9.4532,9.5882,11/6
