country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.666,6.8012,2026-07-29
Danmark,Dansk krona,DKK,1.4611,1.4907,2026-07-29
Euro,Euro,EUR,10.9224,11.143,2026-07-29
Hong Kong,Hongkong dollar,HKD,1.2152,1.253,2026-07-29
Indien,Indisk rupie,INR,0.0983,0.104,2026-07-29
Japan,Japanskt yen,JPY,0.0586,0.0598,2026-07-29
Kanada,Kanadensisk dollar,CAD,6.8003,6.9383,2026-07-29
Kina,Kinesisk yuan,CNY,1.4064,1.4526,2026-07-29
Mexiko,Mexikansk peso,MXN,0.5466,0.5638,2026-07-29
Norge,Norsk krona,NOK,0.989,1.0145,2026-07-29
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5496,5.6628,2026-07-29
Polen,Polsk zloty,PLN,2.5239,2.5759,2026-07-29
Schweiz,Schweizisk franc,CHF,11.7184,11.9558,2026-07-29
Singapore,Singaporiansk dollar,SGD,7.4175,7.568,2026-07-29
Storbritannien,Brittiskt pund,GBP,12.7436,13.002,2026-07-29
Sydafrika,Sydafrikansk rand,ZAR,0.5697,0.5877,2026-07-29
Thailand,Thailänsk bath,THB,0.2845,0.2937,2026-07-29
Tjeckien,Tjeckisk krona,CZK,0.4516,0.4609,2026-07-29
Turkiet,Turkisk lira,TRY,0.2008,0.2078,2026-07-29
Ungern,Ungersk forint,HUF,0.0301,0.031,2026-07-29
USA,Amerikansk dollar,USD,9.5817,9.7755,2026-07-29
