country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6853,6.7654,6.6853,6.7654,16/7
Danmark,DKK/SEK,DKK,SEK,1,1.46645,1.48245,1.46645,1.48245,16/7
Euro,EUR/SEK,EUR,SEK,1,10.9519,11.0919,10.9519,11.0919,16/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2133,1.2395,1.2133,1.2395,16/7
Indien,INR/SEK,INR,SEK,1,0.096691,0.102892,0.096691,0.102892,16/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000521,0.000554,0.000521,0.000554,16/7
Island,ISK/SEK,ISK,SEK,1,0.076799,0.077139,0.076799,0.077139,16/7
Japan,JPY/SEK,JPY,SEK,1,0.058831,0.059772,0.058831,0.059772,16/7
Kanada,CAD/SEK,CAD,SEK,1,6.8032,6.8893,6.8032,6.8893,16/7
Kina,CNY/SEK,CNY,SEK,1,1.4103,1.4303,1.4103,1.4303,16/7
Malaysia,MYR/SEK,MYR,SEK,1,2.345762,2.375762,2.345762,2.375762,16/7
Marocko,MAD/SEK,MAD,SEK,1,1.0141,1.0487,1.0141,1.0487,16/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5449,0.559,0.5449,0.559,16/7
Norge,NOK/SEK,NOK,SEK,1,0.986855,0.999855,0.986855,0.999855,16/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.5852,5.6672,5.5852,5.6672,16/7
Polen,PLN/SEK,PLN,SEK,1,2.5272,2.5672,2.5272,2.5672,16/7
Ryssland,RUB/SEK,RUB,SEK,1,0.12059,0.12497,0.12059,0.12497,16/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5277,2.5919,2.5277,2.5919,16/7
Schweiz,CHF/SEK,CHF,SEK,1,11.86175,11.97375,11.86175,11.97375,16/7
Singapore,SGD/SEK,SGD,SEK,1,7.4253,7.4968,7.4253,7.4968,16/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.9314,13.0714,12.9314,13.0714,16/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.579,0.5971,0.579,0.5971,16/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006361,0.006534,0.006361,0.006534,16/7
Thailand,THB/SEK,THB,SEK,1,0.2836,0.2894,0.2836,0.2894,16/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.452125,0.458725,0.452125,0.458725,16/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1695,0.2383,0.1695,0.2383,16/7
Ungern,HUF/SEK,HUF,SEK,1,0.030297,0.031058,0.030297,0.031058,16/7
USA,USD/SEK,USD,SEK,1,9.5467,9.6817,9.5467,9.6817,16/7
