pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9773,10.9795,10.9784,926,EUR/SEK Spot,10.9784,10.9773,10.9795
USD/SEK,USD,SEK,1,9.5756,9.5802,9.5779,150,USD/SEK Spot,9.5779,9.5756,9.5802
GBP/SEK,GBP,SEK,1,12.6668,12.6769,12.6718,72825,GBP/SEK Spot,12.6718,12.6668,12.6769
JPY/SEK,JPY,SEK,1,5.933,5.943,5.938,117083,JPY/SEK Spot,5.938,5.933,5.943
CHF/SEK,CHF,SEK,1,11.8689,11.8789,11.8739,72829,CHF/SEK Spot,11.8739,11.8689,11.8789
NOK/SEK,NOK,SEK,1,0.9873,0.9883,0.9878,72828,NOK/SEK Spot,0.9878,0.9873,0.9883
DKK/SEK,DKK,SEK,1,1.4683,1.4693,1.4688,72826,DKK/SEK Spot,1.4688,1.4683,1.4693
CAD/SEK,CAD,SEK,1,6.7636,6.7736,6.7686,51623,CAD/SEK Spot,6.7686,6.7636,6.7736
AUD/SEK,AUD,SEK,1,6.7142,6.7152,6.7147,117438,AUD/SEK Spot,6.7147,6.7142,6.7152
NZD/SEK,NZD,SEK,1,5.497,5.498,5.4975,117521,NZD/SEK Spot,5.4975,5.497,5.498
