country,pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,buy_rate,sell_rate,date
Australien,AUD/SEK,AUD,SEK,1,6.6577,6.7377,6.6577,6.7377,6/7
Danmark,DKK/SEK,DKK,SEK,1,1.46806,1.48406,1.46806,1.48406,6/7
Euro,EUR/SEK,EUR,SEK,1,10.9629,11.1029,10.9629,11.1029,6/7
Hongkong,HKD/SEK,HKD,SEK,1,1.2188,1.2451,1.2188,1.2451,6/7
Indien,INR/SEK,INR,SEK,1,0.098119,0.10432,0.098119,0.10432,6/7
Indonesien,IDR/SEK,IDR,SEK,1,0.000523,0.000557,0.000523,0.000557,6/7
Island,ISK/SEK,ISK,SEK,1,0.07645,0.07679,0.07645,0.07679,6/7
Japan,JPY/SEK,JPY,SEK,1,0.059085,0.060025,0.059085,0.060025,6/7
Kanada,CAD/SEK,CAD,SEK,1,6.7506,6.8366,6.7506,6.8366,6/7
Kina,CNY/SEK,CNY,SEK,1,1.4122,1.4323,1.4122,1.4323,6/7
Malaysia,MYR/SEK,MYR,SEK,1,2.353751,2.383752,2.353751,2.383752,6/7
Marocko,MAD/SEK,MAD,SEK,1,1.0131,1.0477,1.0131,1.0477,6/7
Mexiko,MXN/SEK,MXN,SEK,1,0.5457,0.5598,0.5457,0.5598,6/7
Norge,NOK/SEK,NOK,SEK,1,0.975,0.988,0.975,0.988,6/7
Nya Zeeland,NZD/SEK,NZD,SEK,1,5.4526,5.5347,5.4526,5.5347,6/7
Polen,PLN/SEK,PLN,SEK,1,2.5533,2.5933,2.5533,2.5933,6/7
Ryssland,RUB/SEK,RUB,SEK,1,0.12124,0.12562,0.12124,0.12562,6/7
Saudiarabien,SAR/SEK,SAR,SEK,1,2.5405,2.6047,2.5405,2.6047,6/7
Schweiz,CHF/SEK,CHF,SEK,1,11.94345,12.05545,11.94345,12.05545,6/7
Singapore,SGD/SEK,SGD,SEK,1,7.4344,7.5058,7.4344,7.5058,6/7
Storbritannien,GBP/SEK,GBP,SEK,1,12.8197,12.9598,12.8197,12.9598,6/7
Sydafrika,ZAR/SEK,ZAR,SEK,1,0.5867,0.6047,0.5867,0.6047,6/7
Sydkorea,KRW/SEK,KRW,SEK,1,0.006218,0.006391,0.006218,0.006391,6/7
Thailand,THB/SEK,THB,SEK,1,0.287,0.2929,0.287,0.2929,6/7
Tjeckien,CZK/SEK,CZK,SEK,1,0.45324,0.45984,0.45324,0.45984,6/7
Turkiet,TRY/SEK,TRY,SEK,1,0.1718,0.2406,0.1718,0.2406,6/7
Ungern,HUF/SEK,HUF,SEK,1,0.030848,0.031609,0.030848,0.031609,6/7
USA,USD/SEK,USD,SEK,1,9.5934,9.7285,9.5934,9.7285,6/7
