country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.5966,6.7393,2026-06-05
Danmark,Dansk krona,DKK,1.4439,1.4732,2026-06-05
Euro,Euro,EUR,10.7921,11.0108,2026-06-05
Hong Kong,Hongkong dollar,HKD,1.188,1.2279,2026-06-05
Indien,Indisk rupie,INR,0.0967,0.1026,2026-06-05
Japan,Japanskt yen,JPY,0.0584,0.0596,2026-06-05
Kanada,Kanadensisk dollar,CAD,6.7161,6.8626,2026-06-05
Kina,Kinesisk yuan,CNY,1.37,1.4178,2026-06-05
Mexiko,Mexikansk peso,MXN,0.533,0.5506,2026-06-05
Norge,Norsk krona,NOK,0.9874,1.0131,2026-06-05
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4237,5.5422,2026-06-05
Polen,Polsk zloty,PLN,2.5403,2.5965,2026-06-05
Schweiz,Schweizisk franc,CHF,11.7517,12.0077,2026-06-05
Singapore,Singaporiansk dollar,SGD,7.2463,7.4136,2026-06-05
Storbritannien,Brittiskt pund,GBP,12.4861,12.7686,2026-06-05
Sydafrika,Sydafrikansk rand,ZAR,0.5595,0.584,2026-06-05
Thailand,Thailänsk bath,THB,0.2828,0.2951,2026-06-05
Tjeckien,Tjeckisk krona,CZK,0.4455,0.4557,2026-06-05
Turkiet,Turkisk lira,TRY,0.2015,0.209,2026-06-05
Ungern,Ungersk forint,HUF,0.0302,0.0312,2026-06-05
USA,Amerikansk dollar,USD,9.3653,9.5599,2026-06-05
