scraped_at,bank,currency,bid,ask,mid,spread,rate_date,source_bank_label
2026-05-27T12:52:53+00:00,Nordea,HUF,0.030097,0.03071,0.030403,0.000613,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,IDR,0.0005109,0.0005322,0.000522,2.1e-05,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ILS,3.2278,3.3179,3.27285,0.0901,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,INR,0.09494,0.09884,0.09689,0.0039,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,ISK,0.0738,0.077,0.0754,0.0032,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,JPY,0.057658,0.058802,0.05823,0.001144,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KES,0.0701,0.0733,0.0717,0.0032,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KRW,0.006063,0.006289,0.006176,0.000226,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KWD,29.5443,30.4016,29.97295,0.8573,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,KZT,0.018936,0.01973,0.019333,0.000794,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,LKR,0.027641,0.029384,0.028512,0.001743,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MAD,0.9892,1.031,1.0101,0.0418,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MXN,0.52883,0.54343,0.53613,0.0146,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,MYR,2.3131,2.3657,2.3394,0.0526,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,NOK,0.98891,1.00874,0.998825,0.01983,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,NZD,5.3953,5.5027,5.449,0.1074,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PEN,2.654029,2.764723,2.709376,0.110694,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PHP,0.1476,0.1538,0.1507,0.0062,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PKR,0.0322,0.0343,0.03325,0.0021,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,PLN,2.52545,2.57579,2.55062,0.05034,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,QAR,2.4928,2.5966,2.5447,0.1038,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,RON,2.0416,2.083,2.0623,0.0414,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,RSD,0.090089,0.093967,0.092028,0.003878,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,SAR,2.4376,2.506,2.4718,0.0684,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,SGD,7.1942,7.337,7.2656,0.1428,2026-05-27,
2026-05-27T12:52:53+00:00,Nordea,THB,0.28093,0.28867,0.2848,0.00774,2026-05-27,
