pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.533,2.6269,2.6269,2.533,2026-06-12T22:57:48.788239Z,2026-06-12T22:57:48.788239Z
AUD/SEK,AUD,SEK,1,6.5682,6.7902,6.7902,6.5682,2026-06-12T22:57:49.281024Z,2026-06-12T22:57:49.281024Z
BDT/SEK,BDT,SEK,1,0.07442,0.07999,0.07999,0.07442,2026-06-12T22:57:49.354382Z,2026-06-12T22:57:49.354382Z
BHD/SEK,BHD,SEK,1,24.6725,25.5918,25.5918,24.6725,2026-06-12T22:57:48.863403Z,2026-06-12T22:57:48.863403Z
CAD/SEK,CAD,SEK,1,6.676,6.8751,6.8751,6.676,2026-06-12T22:57:49.224007Z,2026-06-12T22:57:49.224007Z
CHF/SEK,CHF,SEK,1,11.712,12.0687,12.0687,11.712,2026-06-12T22:57:49.282559Z,2026-06-12T22:57:49.282559Z
CNH/SEK,CNH,SEK,1,1.3732,1.4295,1.4295,1.3732,2026-06-12T22:57:49.315164Z,2026-06-12T22:57:49.315164Z
CNY/SEK,CNY,SEK,1,1.36672,1.43621,1.43621,1.36672,2026-06-12T22:57:49.167488Z,2026-06-12T22:57:49.167488Z
CZK/SEK,CZK,SEK,1,0.44469,0.46389,0.46389,0.44469,2026-06-12T22:57:48.927910Z,2026-06-12T22:57:48.927910Z
DKK/SEK,DKK,SEK,1,1.4416,1.49229,1.49229,1.4416,2026-06-12T22:57:48.930531Z,2026-06-12T22:57:48.930531Z
EGP/SEK,EGP,SEK,1,0.1759,0.1888,0.1888,0.1759,2026-06-12T22:57:49.274925Z,2026-06-12T22:57:49.274925Z
EUR/SEK,EUR,SEK,1,10.7754,11.1523,11.1523,10.7754,2026-06-12T22:10:41.592031Z,2026-06-12T22:10:41.592031Z
GBP/SEK,GBP,SEK,1,12.3734,12.9615,12.9615,12.3734,2026-06-12T22:57:49.396944Z,2026-06-12T22:57:49.396944Z
GIP/SEK,GIP,SEK,1,12.50701,12.904605,12.904605,12.50701,2026-06-12T22:57:48.344226Z,2026-06-12T22:57:48.344226Z
HKD/SEK,HKD,SEK,1,1.18744,1.23164,1.23164,1.18744,2026-06-12T22:57:49.163777Z,2026-06-12T22:57:49.163777Z
HUF/SEK,HUF,SEK,1,0.030489,0.031873,0.031873,0.030489,2026-06-12T22:57:48.227012Z,2026-06-12T22:57:48.227012Z
IDR/SEK,IDR,SEK,1,0.0005171,0.0005435,0.0005435,0.0005171,2026-06-12T22:57:49.400619Z,2026-06-12T22:57:49.400619Z
ILS/SEK,ILS,SEK,1,3.1683,3.3283,3.3283,3.1683,2026-06-12T22:57:49.392934Z,2026-06-12T22:57:49.392934Z
INR/SEK,INR,SEK,1,0.09719,0.1021,0.1021,0.09719,2026-06-12T22:57:49.278923Z,2026-06-12T22:57:49.278923Z
ISK/SEK,ISK,SEK,1,0.0739,0.0782,0.0782,0.0739,2026-06-12T22:57:48.860475Z,2026-06-12T22:57:48.860475Z
JPY/SEK,JPY,SEK,1,0.058278,0.060011,0.060011,0.058278,2026-06-12T22:24:35.580514Z,2026-06-12T22:24:35.580514Z
KES/SEK,KES,SEK,1,0.0712,0.0751,0.0751,0.0712,2026-06-12T22:57:48.790144Z,2026-06-12T22:57:48.790144Z
KRW/SEK,KRW,SEK,1,0.006105,0.006388,0.006388,0.006105,2026-06-12T22:57:48.219019Z,2026-06-12T22:57:48.219019Z
KWD/SEK,KWD,SEK,1,30.1419,31.3024,31.3024,30.1419,2026-06-12T22:57:48.539787Z,2026-06-12T22:57:48.539787Z
KZT/SEK,KZT,SEK,1,0.018909,0.019907,0.019907,0.018909,2026-06-12T22:57:49.227606Z,2026-06-12T22:57:49.227606Z
LKR/SEK,LKR,SEK,1,0.02732,0.029298,0.029298,0.02732,2026-06-12T22:57:48.348190Z,2026-06-12T22:57:48.348190Z
MAD/SEK,MAD,SEK,1,0.9976,1.049,1.049,0.9976,2026-06-12T22:57:48.866332Z,2026-06-12T22:57:48.866332Z
MXN/SEK,MXN,SEK,1,0.53419,0.56202,0.56202,0.53419,2026-06-12T22:57:49.315222Z,2026-06-12T22:57:49.315222Z
MYR/SEK,MYR,SEK,1,2.2996,2.3716,2.3716,2.2996,2026-06-12T22:57:49.358569Z,2026-06-12T22:57:49.358569Z
NOK/SEK,NOK,SEK,1,0.98059,1.01192,1.01192,0.98059,2026-06-12T22:57:49.249559Z,2026-06-12T22:57:49.249559Z
NZD/SEK,NZD,SEK,1,5.4323,5.6179,5.6179,5.4323,2026-06-12T22:57:49.283753Z,2026-06-12T22:57:49.283753Z
PEN/SEK,PEN,SEK,1,2.726576,2.865925,2.865925,2.726576,2026-06-12T22:57:49.208124Z,2026-06-12T22:57:49.208124Z
