country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6607,6.7593,2026-06-03
Danmark,Dansk krona,DKK,1.4448,1.4663,2026-06-03
Euro,Euro,EUR,10.7995,10.9589,2026-06-03
Hong Kong,Hongkong dollar,HKD,1.1799,1.2099,2026-06-03
Indien,Indisk rupie,INR,0.0953,0.1003,2026-06-03
Japan,Japanskt yen,JPY,0.0581,0.059,2026-06-03
Kanada,Kanadensisk dollar,CAD,6.7091,6.8086,2026-06-03
Kina,Kinesisk yuan,CNY,1.3643,1.4017,2026-06-03
Mexiko,Mexikansk peso,MXN,0.5348,0.5487,2026-06-03
Norge,Norsk krona,NOK,1.0012,1.0161,2026-06-03
Nya Zeeland,Nyzeeländsk dollar,NZD,5.4846,5.5665,2026-06-03
Polen,Polsk zloty,PLN,2.5474,2.5866,2026-06-03
Schweiz,Schweizisk franc,CHF,11.785,11.9594,2026-06-03
Singapore,Singaporiansk dollar,SGD,7.2513,7.3591,2026-06-03
Storbritannien,Brittiskt pund,GBP,12.5019,12.6875,2026-06-03
Sydafrika,Sydafrikansk rand,ZAR,0.5683,0.583,2026-06-03
Thailand,Thailänsk bath,THB,0.2824,0.29,2026-06-03
Tjeckien,Tjeckisk krona,CZK,0.4464,0.4531,2026-06-03
Turkiet,Turkisk lira,TRY,0.201,0.2062,2026-06-03
Ungern,Ungersk forint,HUF,0.0303,0.0311,2026-06-03
USA,Amerikansk dollar,USD,9.2943,9.4317,2026-06-03
