country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.7267,6.8265,2026-07-27
Danmark,Dansk krona,DKK,1.4653,1.487,2026-07-27
Euro,Euro,EUR,10.954,11.1158,2026-07-27
Hong Kong,Hongkong dollar,HKD,1.2179,1.2489,2026-07-27
Indien,Indisk rupie,INR,0.098,0.1032,2026-07-27
Japan,Japanskt yen,JPY,0.0587,0.0596,2026-07-27
Kanada,Kanadensisk dollar,CAD,6.8112,6.9124,2026-07-27
Kina,Kinesisk yuan,CNY,1.4099,1.4485,2026-07-27
Mexiko,Mexikansk peso,MXN,0.5481,0.5622,2026-07-27
Norge,Norsk krona,NOK,0.9997,1.0147,2026-07-27
Nya Zeeland,Nyzeeländsk dollar,NZD,5.5723,5.6557,2026-07-27
Polen,Polsk zloty,PLN,2.5407,2.5791,2026-07-27
Schweiz,Schweizisk franc,CHF,11.7868,11.9616,2026-07-27
Singapore,Singaporiansk dollar,SGD,7.4437,7.5546,2026-07-27
Storbritannien,Brittiskt pund,GBP,12.8181,13.0082,2026-07-27
Sydafrika,Sydafrikansk rand,ZAR,0.5728,0.5877,2026-07-27
Thailand,Thailänsk bath,THB,0.2847,0.2923,2026-07-27
Tjeckien,Tjeckisk krona,CZK,0.4539,0.4608,2026-07-27
Turkiet,Turkisk lira,TRY,0.2015,0.2068,2026-07-27
Ungern,Ungersk forint,HUF,0.0304,0.0311,2026-07-27
USA,Amerikansk dollar,USD,9.6019,9.7441,2026-07-27
