pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0853,11.0903,11.0878,926,EUR/SEK Spot,11.0878,11.0853,11.0903
USD/SEK,USD,SEK,1,9.7347,9.7437,9.7392,150,USD/SEK Spot,9.7392,9.7347,9.7437
GBP/SEK,GBP,SEK,1,12.8479,12.8579,12.8529,72825,GBP/SEK Spot,12.8529,12.8479,12.8579
JPY/SEK,JPY,SEK,1,6.016,6.026,6.021,117083,JPY/SEK Spot,6.021,6.016,6.026
CHF/SEK,CHF,SEK,1,12.0202,12.0302,12.0252,72829,CHF/SEK Spot,12.0252,12.0202,12.0302
NOK/SEK,NOK,SEK,1,0.98,0.981,0.9805,72828,NOK/SEK Spot,0.9805,0.98,0.981
DKK/SEK,DKK,SEK,1,1.4829,1.4839,1.4834,72826,DKK/SEK Spot,1.4834,1.4829,1.4839
CAD/SEK,CAD,SEK,1,6.8565,6.8665,6.8615,51623,CAD/SEK Spot,6.8615,6.8565,6.8665
AUD/SEK,AUD,SEK,1,6.7147,6.7157,6.7152,117438,AUD/SEK Spot,6.7152,6.7147,6.7157
NZD/SEK,NZD,SEK,1,5.4917,5.4927,5.4922,117521,NZD/SEK Spot,5.4922,5.4917,5.4927
