country,currency_name,currency,sell_rate,buy_rate,updated
Australien,Australiensisk dollar,AUD,6.6466,6.7452,2026-07-13
Danmark,Dansk krona,DKK,1.4648,1.4865,2026-07-13
Euro,Euro,EUR,10.9496,11.1112,2026-07-13
Hong Kong,Hongkong dollar,HKD,1.2149,1.2459,2026-07-13
Indien,Indisk rupie,INR,0.0983,0.1035,2026-07-13
Japan,Japanskt yen,JPY,0.0591,0.0599,2026-07-13
Kanada,Kanadensisk dollar,CAD,6.7735,6.8739,2026-07-13
Kina,Kinesisk yuan,CNY,1.4027,1.4415,2026-07-13
Mexiko,Mexikansk peso,MXN,0.5447,0.5588,2026-07-13
Norge,Norsk krona,NOK,0.9799,0.9946,2026-07-13
Nya Zeeland,Nyzeeländsk dollar,NZD,5.537,5.62,2026-07-13
Polen,Polsk zloty,PLN,2.5299,2.568,2026-07-13
Schweiz,Schweizisk franc,CHF,11.8466,12.0221,2026-07-13
Singapore,Singaporiansk dollar,SGD,7.4094,7.5194,2026-07-13
Storbritannien,Brittiskt pund,GBP,12.8243,13.0145,2026-07-13
Sydafrika,Sydafrikansk rand,ZAR,0.5826,0.5977,2026-07-13
Thailand,Thailänsk bath,THB,0.2855,0.2932,2026-07-13
Tjeckien,Tjeckisk krona,CZK,0.4513,0.4582,2026-07-13
Turkiet,Turkisk lira,TRY,0.2022,0.2076,2026-07-13
Ungern,Ungersk forint,HUF,0.0306,0.0314,2026-07-13
USA,Amerikansk dollar,USD,9.5748,9.7162,2026-07-13
