pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,11.0359,11.0383,11.0371,926,EUR/SEK Spot,11.0371,11.0359,11.0383
USD/SEK,USD,SEK,1,9.6553,9.6573,9.6563,150,USD/SEK Spot,9.6563,9.6553,9.6573
GBP/SEK,GBP,SEK,1,12.9204,12.9304,12.9254,72825,GBP/SEK Spot,12.9254,12.9204,12.9304
JPY/SEK,JPY,SEK,1,5.952,5.962,5.957,117083,JPY/SEK Spot,5.957,5.952,5.962
CHF/SEK,CHF,SEK,1,11.9193,11.9293,11.9243,72829,CHF/SEK Spot,11.9243,11.9193,11.9293
NOK/SEK,NOK,SEK,1,0.9874,0.9884,0.9879,72828,NOK/SEK Spot,0.9879,0.9874,0.9884
DKK/SEK,DKK,SEK,1,1.476,1.477,1.4765,72826,DKK/SEK Spot,1.4765,1.476,1.477
CAD/SEK,CAD,SEK,1,6.8242,6.8342,6.8292,51623,CAD/SEK Spot,6.8292,6.8242,6.8342
AUD/SEK,AUD,SEK,1,6.7011,6.7021,6.7016,117438,AUD/SEK Spot,6.7016,6.7011,6.7021
NZD/SEK,NZD,SEK,1,5.5771,5.5781,5.5776,117521,NZD/SEK Spot,5.5776,5.5771,5.5781
