pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,last_per_unit,insref,instrument_name,last_rate,bid_rate,ask_rate
EUR/SEK,EUR,SEK,1,10.9773,10.9796,10.9784,926,EUR/SEK Spot,10.9784,10.9773,10.9796
USD/SEK,USD,SEK,1,9.5389,9.5412,9.5401,150,USD/SEK Spot,9.5401,9.5389,9.5412
GBP/SEK,GBP,SEK,1,12.8274,12.8374,12.8324,72825,GBP/SEK Spot,12.8324,12.8274,12.8374
JPY/SEK,JPY,SEK,1,5.962,5.972,5.967,117083,JPY/SEK Spot,5.967,5.962,5.972
CHF/SEK,CHF,SEK,1,11.7998,11.8098,11.8048,72829,CHF/SEK Spot,11.8048,11.7998,11.8098
NOK/SEK,NOK,SEK,1,1.0009,1.0019,1.0014,72828,NOK/SEK Spot,1.0014,1.0009,1.0019
DKK/SEK,DKK,SEK,1,1.4682,1.4692,1.4687,72826,DKK/SEK Spot,1.4687,1.4682,1.4692
CAD/SEK,CAD,SEK,1,6.8021,6.8121,6.8071,51623,CAD/SEK Spot,6.8071,6.8021,6.8121
AUD/SEK,AUD,SEK,1,6.7086,6.7096,6.7091,117438,AUD/SEK Spot,6.7091,6.7086,6.7096
NZD/SEK,NZD,SEK,1,5.6043,5.6053,5.6048,117521,NZD/SEK Spot,5.6048,5.6043,5.6053
