pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.6077,2.6794,2.6794,2.6077,2026-07-23T08:50:09.986151Z,2026-07-23T08:50:09.986151Z
AUD/SEK,AUD,SEK,1,6.7303,6.8637,6.8637,6.7303,2026-07-23T08:50:09.978685Z,2026-07-23T08:50:09.978685Z
BDT/SEK,BDT,SEK,1,0.076038,0.081216,0.081216,0.076038,2026-07-23T08:50:09.975449Z,2026-07-23T08:50:09.975449Z
BHD/SEK,BHD,SEK,1,25.3991,26.1035,26.1035,25.3991,2026-07-23T08:50:09.993748Z,2026-07-23T08:50:09.993748Z
CAD/SEK,CAD,SEK,1,6.8309,6.9663,6.9663,6.8309,2026-07-23T08:50:09.999793Z,2026-07-23T08:50:09.999793Z
CHF/SEK,CHF,SEK,1,11.7955,12.0294,12.0294,11.7955,2026-07-23T08:50:09.976953Z,2026-07-23T08:50:09.976953Z
CNH/SEK,CNH,SEK,1,1.4145,1.4534,1.4534,1.4145,2026-07-23T08:50:10.013405Z,2026-07-23T08:50:10.013405Z
CNY/SEK,CNY,SEK,1,1.40461,1.46294,1.46294,1.40461,2026-07-23T08:50:09.996175Z,2026-07-23T08:50:09.996175Z
CZK/SEK,CZK,SEK,1,0.45308,0.46223,0.46223,0.45308,2026-07-23T08:50:09.977325Z,2026-07-23T08:50:09.977325Z
DKK/SEK,DKK,SEK,1,1.46721,1.49631,1.49631,1.46721,2026-07-23T08:50:09.994079Z,2026-07-23T08:50:09.994079Z
EGP/SEK,EGP,SEK,1,0.1835,0.1951,0.1951,0.1835,2026-07-23T08:50:09.980271Z,2026-07-23T08:50:09.980271Z
EUR/SEK,EUR,SEK,1,10.9733,11.1908,11.1908,10.9733,2026-07-23T08:15:34.989602Z,2026-07-23T08:15:34.989602Z
GBP/SEK,GBP,SEK,1,12.8498,13.1044,13.1044,12.8498,2026-07-23T08:50:09.988308Z,2026-07-23T08:50:09.988308Z
GIP/SEK,GIP,SEK,1,12.842599,13.112012,13.112012,12.842599,2026-07-23T08:50:10.026258Z,2026-07-23T08:50:10.026258Z
HKD/SEK,HKD,SEK,1,1.22155,1.2551,1.2551,1.22155,2026-07-23T08:50:09.977924Z,2026-07-23T08:50:09.977924Z
HUF/SEK,HUF,SEK,1,0.030099,0.030709,0.030709,0.030099,2026-07-23T08:50:09.982152Z,2026-07-23T08:50:09.982152Z
IDR/SEK,IDR,SEK,1,0.000531,0.000553,0.000553,0.000531,2026-07-23T08:50:10.010093Z,2026-07-23T08:50:10.010093Z
ILS/SEK,ILS,SEK,1,3.1177,3.2051,3.2051,3.1177,2026-07-23T08:50:09.974873Z,2026-07-23T08:50:09.974873Z
INR/SEK,INR,SEK,1,0.09854,0.10257,0.10257,0.09854,2026-07-23T08:50:09.998986Z,2026-07-23T08:50:09.998986Z
ISK/SEK,ISK,SEK,1,0.0756,0.0788,0.0788,0.0756,2026-07-23T08:50:09.975952Z,2026-07-23T08:50:09.975952Z
JPY/SEK,JPY,SEK,1,0.058854,0.060019,0.060019,0.058854,2026-07-23T08:50:09.996560Z,2026-07-23T08:50:09.996560Z
KES/SEK,KES,SEK,1,0.0734,0.0765,0.0765,0.0734,2026-07-23T08:50:09.980648Z,2026-07-23T08:50:09.980648Z
KRW/SEK,KRW,SEK,1,0.006477,0.006716,0.006716,0.006477,2026-07-23T08:50:09.999445Z,2026-07-23T08:50:09.999445Z
KWD/SEK,KWD,SEK,1,30.8986,31.7932,31.7932,30.8986,2026-07-23T08:50:09.993398Z,2026-07-23T08:50:09.993398Z
KZT/SEK,KZT,SEK,1,0.02041,0.021265,0.021265,0.02041,2026-07-23T08:50:10.019857Z,2026-07-23T08:50:10.019857Z
LKR/SEK,LKR,SEK,1,0.028024,0.029766,0.029766,0.028024,2026-07-23T08:50:09.979125Z,2026-07-23T08:50:09.979125Z
