pair,base_currency,quote_currency,quoted_per_units,bid_per_unit,ask_per_unit,ask_sek_per_fx,bid_sek_per_fx,ask_timestamp,bid_timestamp
AED/SEK,AED,SEK,1,2.5565,2.6595,2.6595,2.5565,2026-06-19T21:40:18.299493Z,2026-06-19T21:40:18.299493Z
AUD/SEK,AUD,SEK,1,6.5937,6.8342,6.8342,6.5937,2026-06-19T21:40:18.401513Z,2026-06-19T21:40:18.401513Z
BDT/SEK,BDT,SEK,1,0.075077,0.080924,0.080924,0.075077,2026-06-19T21:40:18.351979Z,2026-06-19T21:40:18.351979Z
BHD/SEK,BHD,SEK,1,24.9033,25.9035,25.9035,24.9033,2026-06-19T21:40:18.298739Z,2026-06-19T21:40:18.298739Z
CAD/SEK,CAD,SEK,1,6.6234,6.9013,6.9013,6.6234,2026-06-19T21:40:18.359488Z,2026-06-19T21:40:18.359488Z
CHF/SEK,CHF,SEK,1,11.6702,12.0633,12.0633,11.6702,2026-06-19T21:40:18.293138Z,2026-06-19T21:40:18.293138Z
CNH/SEK,CNH,SEK,1,1.3757,1.4411,1.4411,1.3757,2026-06-19T21:40:18.305048Z,2026-06-19T21:40:18.305048Z
CNY/SEK,CNY,SEK,1,1.37805,1.4521,1.4521,1.37805,2026-06-19T21:40:18.357566Z,2026-06-19T21:40:18.357566Z
CZK/SEK,CZK,SEK,1,0.44538,0.46342,0.46342,0.44538,2026-06-19T21:40:18.411290Z,2026-06-19T21:40:18.411290Z
DKK/SEK,DKK,SEK,1,1.44428,1.49621,1.49621,1.44428,2026-06-19T21:40:18.417219Z,2026-06-19T21:40:18.417219Z
EGP/SEK,EGP,SEK,1,0.1848,0.1989,0.1989,0.1848,2026-06-19T21:40:18.410592Z,2026-06-19T21:40:18.410592Z
EUR/SEK,EUR,SEK,1,10.7969,11.1821,11.1821,10.7969,2026-06-19T22:20:17.829578Z,2026-06-19T22:20:17.829578Z
GBP/SEK,GBP,SEK,1,12.406,13.0161,13.0161,12.406,2026-06-19T21:40:18.418094Z,2026-06-19T21:40:18.418094Z
GIP/SEK,GIP,SEK,1,12.447714,12.898641,12.898641,12.447714,2026-06-19T21:40:18.417865Z,2026-06-19T21:40:18.417865Z
HKD/SEK,HKD,SEK,1,1.19809,1.24634,1.24634,1.19809,2026-06-19T21:40:18.352337Z,2026-06-19T21:40:18.352337Z
HUF/SEK,HUF,SEK,1,0.030692,0.031789,0.031789,0.030692,2026-06-19T21:40:18.411104Z,2026-06-19T21:40:18.411104Z
IDR/SEK,IDR,SEK,1,0.000524,0.0005527,0.0005527,0.000524,2026-06-19T21:40:18.421785Z,2026-06-19T21:40:18.421785Z
ILS/SEK,ILS,SEK,1,3.151,3.3128,3.3128,3.151,2026-06-19T21:40:18.413967Z,2026-06-19T21:40:18.413967Z
INR/SEK,INR,SEK,1,0.09888,0.10418,0.10418,0.09888,2026-06-19T21:40:18.414669Z,2026-06-19T21:40:18.414669Z
ISK/SEK,ISK,SEK,1,0.074,0.0785,0.0785,0.074,2026-06-19T21:40:18.295697Z,2026-06-19T21:40:18.295697Z
JPY/SEK,JPY,SEK,1,0.058423,0.060324,0.060324,0.058423,2026-06-19T21:40:18.404427Z,2026-06-19T21:40:18.404427Z
KES/SEK,KES,SEK,1,0.0719,0.076,0.076,0.0719,2026-06-19T21:40:18.351935Z,2026-06-19T21:40:18.351935Z
KRW/SEK,KRW,SEK,1,0.006106,0.006408,0.006408,0.006106,2026-06-19T21:40:18.357332Z,2026-06-19T21:40:18.357332Z
KWD/SEK,KWD,SEK,1,30.461,31.7275,31.7275,30.461,2026-06-19T21:40:18.415344Z,2026-06-19T21:40:18.415344Z
KZT/SEK,KZT,SEK,1,0.019113,0.020163,0.020163,0.019113,2026-06-19T21:40:18.363576Z,2026-06-19T21:40:18.363576Z
LKR/SEK,LKR,SEK,1,0.027694,0.029779,0.029779,0.027694,2026-06-19T21:40:18.351478Z,2026-06-19T21:40:18.351478Z
MAD/SEK,MAD,SEK,1,1.0018,1.0563,1.0563,1.0018,2026-06-19T21:40:18.305433Z,2026-06-19T21:40:18.305433Z
MXN/SEK,MXN,SEK,1,0.53836,0.5718,0.5718,0.53836,2026-06-19T21:40:18.360911Z,2026-06-19T21:40:18.360911Z
MYR/SEK,MYR,SEK,1,2.2759,2.3547,2.3547,2.2759,2026-06-19T21:40:18.357732Z,2026-06-19T21:40:18.357732Z
NOK/SEK,NOK,SEK,1,0.97529,1.0001,1.0001,0.97529,2026-06-19T21:40:18.360163Z,2026-06-19T21:40:18.360163Z
NZD/SEK,NZD,SEK,1,5.391,5.5944,5.5944,5.391,2026-06-19T21:40:18.417540Z,2026-06-19T21:40:18.417540Z
PEN/SEK,PEN,SEK,1,2.756165,2.906122,2.906122,2.756165,2026-06-19T21:40:18.410181Z,2026-06-19T21:40:18.410181Z
PHP/SEK,PHP,SEK,1,0.1534,0.1617,0.1617,0.1534,2026-06-19T21:40:18.352933Z,2026-06-19T21:40:18.352933Z
PKR/SEK,PKR,SEK,1,0.0331,0.0357,0.0357,0.0331,2026-06-19T21:40:18.363226Z,2026-06-19T21:40:18.363226Z
PLN/SEK,PLN,SEK,1,2.52707,2.6342,2.6342,2.52707,2026-06-19T21:40:18.410813Z,2026-06-19T21:40:18.410813Z
QAR/SEK,QAR,SEK,1,2.5577,2.6959,2.6959,2.5577,2026-06-19T21:40:18.414317Z,2026-06-19T21:40:18.414317Z
RON/SEK,RON,SEK,1,2.0418,2.161,2.161,2.0418,2026-06-19T21:40:18.357231Z,2026-06-19T21:40:18.357231Z
RSD/SEK,RSD,SEK,1,0.090908,0.096283,0.096283,0.090908,2026-06-19T21:40:18.360564Z,2026-06-19T21:40:18.360564Z
SAR/SEK,SAR,SEK,1,2.4998,2.6015,2.6015,2.4998,2026-06-19T21:40:18.307283Z,2026-06-19T21:40:18.307283Z
SGD/SEK,SGD,SEK,1,7.2609,7.5454,7.5454,7.2609,2026-06-19T21:40:18.414701Z,2026-06-19T21:40:18.414701Z
THB/SEK,THB,SEK,1,0.28494,0.2973,0.2973,0.28494,2026-06-19T21:40:18.421109Z,2026-06-19T21:40:18.421109Z
TND/SEK,TND,SEK,1,3.1715,3.3457,3.3457,3.1715,2026-06-19T21:40:18.299090Z,2026-06-19T21:40:18.299090Z
TRY/SEK,TRY,SEK,1,0.2004,0.2117,0.2117,0.2004,2026-06-19T21:40:18.406969Z,2026-06-19T21:40:18.406969Z
USD/SEK,USD,SEK,1,9.4262,9.729,9.729,9.4262,2026-06-19T21:40:18.418820Z,2026-06-19T21:40:18.418820Z
ZAR/SEK,ZAR,SEK,1,0.56888,0.59347,0.59347,0.56888,2026-06-19T21:40:18.296303Z,2026-06-19T21:40:18.296303Z
